area,fuel,n,mean_mwh,median_mwh,max_mwh,p95_mwh
chubu,battery,37968,1.6,0.0,34.0,10.0
chubu,biomass,50352,328.8,310.0,630.0,584.0
chubu,demand,48912,14811.0,14516.0,25344.0,20778.0
chubu,geothermal,48912,1.7,2.0,4.0,2.0
chubu,hydro,48912,1184.9,1172.0,2422.0,1992.0
chubu,interconnector,48912,1536.5,1552.0,4288.0,2830.0
chubu,nuclear,48912,0.0,0.0,0.0,0.0
chubu,pumped,48912,-15.2,34.0,3624.0,1158.0
chubu,solar,48912,1787.1,12.0,10320.0,7536.0
chubu,solar_curtailed,48912,5.4,0.0,2197.0,0.0
chubu,thermal,164256,2931.0,1754.0,19325.0,10120.0
chubu,wind,48912,83.3,56.0,322.0,236.0
chubu,wind_curtailed,48912,0.1,0.0,64.0,0.0
chugoku,biomass,142272,211.7,219.0,302.0,286.0
chugoku,geothermal,142272,0.0,0.0,0.0,0.0
chugoku,hydro,142272,359.5,358.0,769.0,670.0
chugoku,interconnector,142272,223.4,283.0,2402.0,1228.0
chugoku,nuclear,142272,0.0,0.0,0.0,0.0
chugoku,pumped,142272,-34.4,0.0,1338.0,483.0
chugoku,solar,142272,899.0,12.0,5298.0,3832.0
chugoku,solar_curtailed,5148,854.3,655.0,3393.0,2185.0
chugoku,thermal,142272,4875.0,4886.0,8325.0,6880.0
chugoku,wind,142272,53.0,39.0,241.0,149.0
chugoku,wind_curtailed,3172,27.5,16.0,176.0,106.0
hokkaido,battery,40368,-4.2,-5.0,131.0,17.0
hokkaido,biomass,63216,150.3,202.0,343.0,294.0
hokkaido,demand,40368,3350.6,3269.0,5116.0,4397.0
hokkaido,geothermal,40368,11.6,16.0,22.0,21.0
hokkaido,hydro,40368,510.9,500.0,1002.0,846.0
hokkaido,interconnector,40368,-131.3,-133.0,499.0,334.0
hokkaido,nuclear,40368,0.0,0.0,0.0,0.0
hokkaido,pumped,40368,17.6,22.0,581.0,237.0
hokkaido,solar,40368,382.2,7.0,2235.0,1556.0
hokkaido,solar_curtailed,40368,3.4,0.0,711.0,0.0
hokkaido,thermal,184320,435.2,233.0,1917.0,1668.0
hokkaido,wind,40368,343.0,320.0,1007.0,767.0
hokkaido,wind_curtailed,40368,0.7,0.0,328.0,0.0
hokuriku,battery,30720,0.0,0.0,0.0,0.0
hokuriku,biomass,30720,82.6,84.0,114.0,109.0
hokuriku,demand,30720,3114.5,3020.0,5216.0,4389.0
hokuriku,geothermal,30720,0.0,0.0,0.0,0.0
hokuriku,hydro,30720,893.6,817.0,2087.0,1534.0
hokuriku,interconnector,30720,-267.0,-242.0,1184.0,372.0
hokuriku,nuclear,30720,0.0,0.0,0.0,0.0
hokuriku,pumped,30720,6.7,0.0,154.0,99.0
hokuriku,solar,30720,201.7,6.0,1260.0,929.0
hokuriku,solar_curtailed,30720,1.4,0.0,703.0,0.0
hokuriku,thermal,122880,533.2,122.0,2672.0,2432.0
hokuriku,wind,30720,17.7,12.0,98.0,54.0
hokuriku,wind_curtailed,30720,0.0,0.0,14.0,0.0
kansai,biomass,123552,88.2,80.0,150.0,150.0
kansai,demand,123552,15995.6,15502.0,27076.0,22261.0
kansai,geothermal,123552,0.0,0.0,0.0,0.0
kansai,hydro,123552,1346.7,1320.0,3022.0,2407.0
kansai,interconnector,123552,1088.1,1027.0,6162.0,3073.0
kansai,nuclear,123552,4744.6,4880.0,5696.0,5626.0
kansai,pumped,123552,-102.9,130.0,2435.0,548.0
kansai,solar,123552,1009.1,16.0,5864.0,4355.0
kansai,solar_curtailed,123552,0.7,0.0,625.0,0.0
kansai,thermal,123552,7779.4,7527.0,15204.0,12026.0
kansai,wind,123552,42.3,29.0,159.0,125.0
kansai,wind_curtailed,123552,0.0,0.0,16.0,0.0
kyushu,biomass,21888,497.1,505.0,602.0,580.0
kyushu,demand,21888,9716.6,9446.0,15782.0,12958.0
kyushu,geothermal,21888,143.9,149.0,166.0,159.0
kyushu,hydro,21888,478.3,382.0,1338.0,1098.0
kyushu,interconnector,21888,-1751.5,-1775.0,208.0,-786.0
kyushu,nuclear,21888,3526.2,3231.0,4160.0,4152.0
kyushu,pumped,21888,-74.9,0.0,1838.0,764.0
kyushu,solar,21888,1488.3,24.0,9134.0,6180.0
kyushu,solar_curtailed,21888,143.5,0.0,5848.0,1024.0
kyushu,thermal,21888,5325.3,5177.0,11287.0,8932.0
kyushu,wind,21888,84.0,62.0,373.0,238.0
kyushu,wind_curtailed,21888,2.8,0.0,314.0,0.0
okinawa,battery,39492,0.0,0.0,0.0,0.0
okinawa,biomass,41064,42.8,50.0,53.0,52.0
okinawa,demand,39492,969.6,892.0,1686.1,1489.0
okinawa,geothermal,39492,0.0,0.0,0.0,0.0
okinawa,hydro,39492,1.0,1.0,1.0,1.0
okinawa,interconnector,39492,0.0,0.0,0.0,0.0
okinawa,nuclear,39492,0.0,0.0,0.0,0.0
okinawa,pumped,39492,0.0,0.0,0.0,0.0
okinawa,solar,39492,56.9,1.0,340.0,248.0
okinawa,solar_curtailed,39492,0.1,0.0,61.0,0.0
okinawa,thermal,159540,214.2,148.0,937.0,704.0
okinawa,wind,39492,2.0,1.0,14.0,7.2
okinawa,wind_curtailed,39492,0.0,0.0,13.0,0.0
shikoku,battery,14636,-0.2,0.0,16.0,2.0
shikoku,biomass,38108,204.0,214.0,306.0,294.0
shikoku,demand,38108,2934.6,2836.0,5056.0,4106.0
shikoku,hydro,38108,319.7,282.0,822.0,674.0
shikoku,interconnector,38108,-1049.4,-1118.0,558.0,-178.0
shikoku,nuclear,38108,686.4,878.0,882.0,880.0
shikoku,pumped,38108,-9.5,0.0,622.0,272.0
shikoku,solar,38108,472.8,8.0,2686.0,1938.0
shikoku,solar_curtailed,38108,17.5,0.0,1230.0,49.0
shikoku,thermal,152432,561.1,169.0,3353.0,2348.0
shikoku,wind,38108,66.2,50.0,258.0,184.0
shikoku,wind_curtailed,38108,0.5,0.0,136.0,0.0
tepco,battery,35,3.3,2.0,18.0,18.0
tepco,biomass,35,482.7,473.0,537.0,528.0
tepco,demand,35,36760.6,37610.0,45730.0,45500.0
tepco,geothermal,35,0.0,0.0,0.0,0.0
tepco,hydro,35,1832.2,1822.0,2006.0,1984.0
tepco,interconnector,35,5858.1,6116.0,6590.0,6506.0
tepco,nuclear,35,1295.5,1296.0,1296.0,1296.0
tepco,pumped,35,-841.2,-469.0,4065.0,3652.0
tepco,solar,35,5009.9,4397.0,11714.0,11670.0
tepco,solar_curtailed,35,0.0,0.0,0.0,0.0
tepco,thermal,140,5673.6,7180.0,18643.0,16205.0
tepco,wind,35,186.3,192.0,241.0,238.0
tepco,wind_curtailed,35,0.0,0.0,0.0,0.0
tohoku,battery,42288,-1.8,-1.0,54.0,17.0
tohoku,biomass,48144,591.7,648.0,1087.0,849.0
tohoku,demand,42288,9001.6,8851.0,14427.0,12166.0
tohoku,geothermal,42288,138.2,144.0,194.0,169.0
tohoku,hydro,42288,1350.0,1280.0,2669.0,2169.0
tohoku,interconnector,42288,-3903.0,-3942.0,304.0,-2248.0
tohoku,nuclear,42288,390.0,118.0,845.0,792.0
tohoku,pumped,42288,-6.2,0.0,466.0,194.0
tohoku,solar,42288,1285.5,29.0,7833.0,5316.0
tohoku,solar_curtailed,42288,50.5,0.0,3751.0,139.0
tohoku,thermal,175008,2051.9,456.0,7522.0,5958.0
tohoku,wind,42288,584.2,404.0,2044.0,1643.0
tohoku,wind_curtailed,42288,7.5,0.0,1228.0,0.0
