area,hour,n,mean_solar_mwh,max_solar_mwh
chubu,0,2038,0.0,0.0
chubu,1,2038,0.0,0.0
chubu,2,2038,0.0,0.0
chubu,3,2038,0.0,0.0
chubu,4,2038,1.2,88.0
chubu,5,2038,64.7,892.0
chubu,6,2038,543.1,3114.0
chubu,7,2038,1776.6,5582.0
chubu,8,2038,3450.0,7740.0
chubu,9,2038,4865.7,9240.0
chubu,10,2038,5761.7,10078.0
chubu,11,2038,6109.3,10320.0
chubu,12,2038,5989.4,10272.0
chubu,13,2038,5408.2,9832.0
chubu,14,2038,4352.4,8748.0
chubu,15,2038,2870.2,6954.0
chubu,16,2038,1323.5,4616.0
chubu,17,2038,344.0,2122.0
chubu,18,2038,30.1,494.0
chubu,19,2038,0.0,0.0
chubu,20,2038,0.0,0.0
chubu,21,2038,0.0,0.0
chubu,22,2038,0.0,0.0
chubu,23,2038,0.0,0.0
chugoku,0,5928,0.0,0.0
chugoku,1,5928,0.0,0.0
chugoku,2,5928,0.0,0.0
chugoku,3,5928,0.0,0.0
chugoku,4,5928,0.0,1.0
chugoku,5,5928,20.5,197.0
chugoku,6,5928,193.1,1070.0
chugoku,7,5928,699.8,2322.0
chugoku,8,5928,1497.7,3472.0
chugoku,9,5928,2242.4,4344.0
chugoku,10,5928,2744.0,4943.0
chugoku,11,5928,2961.2,5286.0
chugoku,12,5928,2923.4,5298.0
chugoku,13,5928,2765.0,5084.0
chugoku,14,5928,2378.7,4507.0
chugoku,15,5928,1761.3,3697.0
chugoku,16,5928,993.8,2667.0
chugoku,17,5928,339.9,1372.0
chugoku,18,5928,54.4,384.0
chugoku,19,5928,0.5,12.0
chugoku,20,5928,0.0,0.0
chugoku,21,5928,0.0,0.0
chugoku,22,5928,0.0,0.0
chugoku,23,5928,0.0,0.0
hokkaido,0,1682,0.0,10.0
hokkaido,1,1682,0.0,10.0
hokkaido,2,1682,0.0,10.0
hokkaido,3,1682,0.1,10.0
hokkaido,4,1682,18.3,203.0
hokkaido,5,1682,107.6,622.0
hokkaido,6,1682,274.2,1029.0
hokkaido,7,1682,553.4,1452.0
hokkaido,8,1682,866.3,1877.0
hokkaido,9,1682,1107.7,2109.0
hokkaido,10,1682,1248.9,2226.0
hokkaido,11,1682,1273.8,2235.0
hokkaido,12,1682,1193.6,2164.0
hokkaido,13,1682,1021.5,1984.0
hokkaido,14,1682,762.3,1676.0
hokkaido,15,1682,456.4,1222.0
hokkaido,16,1682,218.1,843.0
hokkaido,17,1682,64.7,421.0
hokkaido,18,1682,5.9,73.0
hokkaido,19,1682,0.2,11.0
hokkaido,20,1682,0.1,10.0
hokkaido,21,1682,0.0,10.0
hokkaido,22,1682,0.0,10.0
hokkaido,23,1682,0.0,10.0
hokuriku,0,1280,0.0,0.0
hokuriku,1,1280,0.0,0.0
hokuriku,2,1280,0.0,0.0
hokuriku,3,1280,0.0,0.0
hokuriku,4,1280,0.8,12.0
hokuriku,5,1280,14.5,127.0
hokuriku,6,1280,76.0,377.0
hokuriku,7,1280,200.0,659.0
hokuriku,8,1280,362.1,931.0
hokuriku,9,1280,512.3,1129.0
hokuriku,10,1280,619.9,1231.0
hokuriku,11,1280,667.5,1260.0
hokuriku,12,1280,665.3,1247.0
hokuriku,13,1280,606.9,1210.0
hokuriku,14,1280,496.2,1103.0
hokuriku,15,1280,342.8,883.0
hokuriku,16,1280,188.8,632.0
hokuriku,17,1280,72.6,336.0
hokuriku,18,1280,14.6,112.0
hokuriku,19,1280,0.8,7.0
hokuriku,20,1280,0.5,2.0
hokuriku,21,1280,0.0,0.0
hokuriku,22,1280,0.0,0.0
hokuriku,23,1280,0.0,0.0
kansai,0,5148,0.0,0.0
kansai,1,5148,0.0,0.0
kansai,2,5148,0.0,0.0
kansai,3,5148,0.0,0.0
kansai,4,5148,0.0,1.0
kansai,5,5148,32.1,219.0
kansai,6,5148,267.1,1123.0
kansai,7,5148,876.7,2522.0
kansai,8,5148,1815.3,3913.0
kansai,9,5148,2673.1,4962.0
kansai,10,5148,3246.0,5542.0
kansai,11,5148,3488.3,5864.0
kansai,12,5148,3417.3,5839.0
kansai,13,5148,3097.2,5519.0
kansai,14,5148,2506.1,4823.0
kansai,15,5148,1690.3,3710.0
kansai,16,5148,824.0,2387.0
kansai,17,5148,250.7,1113.0
kansai,18,5148,33.3,240.0
kansai,19,5148,0.1,1.0
