time,chubu_ghi_wm2,chugoku_ghi_wm2,hokkaido_ghi_wm2,hokuriku_ghi_wm2,kansai_ghi_wm2,kyushu_ghi_wm2,okinawa_ghi_wm2,shikoku_ghi_wm2,tohoku_ghi_wm2,tokyo_ghi_wm2,chubu_cf,chugoku_cf,hokkaido_cf,hokuriku_cf,kansai_cf,kyushu_cf,okinawa_cf,shikoku_cf,tohoku_cf,tokyo_cf
2025-01-01T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-01-01T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-01-01T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-01-01T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-01-01T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-01-01T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-01-01T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-01-01T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003
2025-01-01T08:00,52.3,19.4,32.9,22.3,34.2,20.0,14.8,30.5,42.7,61.9,0.0523,0.0194,0.0329,0.0223,0.0342,0.0200,0.0148,0.0305,0.0427,0.0619
2025-01-01T09:00,201.7,148.6,141.5,113.4,162.1,159.0,88.7,179.4,158.1,204.3,0.2017,0.1486,0.1415,0.1134,0.1621,0.1590,0.0887,0.1794,0.1581,0.2043
2025-01-01T10:00,362.4,287.8,240.4,245.3,303.9,328.6,214.7,346.4,251.4,348.3,0.3624,0.2878,0.2404,0.2453,0.3039,0.3286,0.2147,0.3464,0.2514,0.3483
2025-01-01T11:00,469.6,415.2,298.7,339.1,387.9,466.2,310.9,474.6,363.8,436.6,0.4696,0.4152,0.2987,0.3391,0.3879,0.4662,0.3109,0.4746,0.3638,0.4366
2025-01-01T12:00,497.5,471.8,324.9,360.3,440.5,550.2,366.8,548.8,417.0,480.8,0.4975,0.4718,0.3249,0.3603,0.4405,0.5502,0.3668,0.5487,0.4170,0.4808
2025-01-01T13:00,475.1,496.9,291.7,344.7,442.5,567.2,379.1,559.9,408.4,454.0,0.4751,0.4969,0.2917,0.3447,0.4425,0.5673,0.3791,0.5599,0.4084,0.4540
2025-01-01T14:00,393.7,463.4,217.4,245.3,381.9,525.7,326.8,501.2,328.2,396.2,0.3937,0.4634,0.2174,0.2453,0.3819,0.5257,0.3268,0.5012,0.3282,0.3962
