station_dir,lat,lon,region,n_hours
11016_稚内,45.377853,141.69014,hokkaido,8760
11291_北見枝幸,44.88576,142.52322,hokkaido,8760
12442_旭川,43.760983,142.3414,hokkaido,8760
13181_羽幌,44.32337,141.74312,hokkaido,8760
13277_留萌,43.90158,141.68182,hokkaido,8760
14163_札幌,43.057995,141.29463,hokkaido,8760
15356_岩見沢,43.26889,141.79372,hokkaido,8760
16091_小樽,43.198593,140.91046,hokkaido,8760
16217_倶知安,42.917397,140.74184,hokkaido,8760
16252_寿都,42.7768,140.1923,hokkaido,8760
17036_雄武,44.534267,142.94931,hokkaido,8760
17112_紋別,44.32337,143.3945,hokkaido,8760
17341_網走,43.971878,144.2185,hokkaido,8760
18273_根室,43.33919,145.6437,hokkaido,8760
19432_釧路,42.987698,144.42793,hokkaido,8760
20432_帯広,42.917397,143.1454,hokkaido,8760
20751_広尾,42.355007,143.31378,hokkaido,8760
21187_苫小牧,42.636204,141.50443,hokkaido,8760
21323_室蘭,42.28471,140.9956,hokkaido,8760
22327_浦河,42.21441,142.76317,hokkaido,8760
23232_函館,41.792618,140.73914,hokkaido,8760
24217_江差,41.862915,140.15964,hokkaido,8760
31111_むつ,41.300526,141.26256,tohoku,8760
31312_青森,40.808434,140.75284,tohoku,8760
31436_深浦,40.667835,139.97166,tohoku,8760
31602_八戸,40.52724,141.48305,tohoku,8760
32402_秋田,39.683655,140.125,tohoku,8760
33431_盛岡,39.683655,141.125,tohoku,8760
33472_宮古,39.613354,141.92789,tohoku,8760
33877_大船渡,39.050964,141.7284,tohoku,8760
34292_石巻,38.418278,141.34146,tohoku,8760
34392_仙台,38.20738,140.89069,tohoku,8760
35052_酒田,38.910366,139.86319,tohoku,8760
35162_新庄,38.76977,140.34106,tohoku,8760
35426_山形,38.27768,140.35135,tohoku,8760
36127_福島,37.785587,140.48193,tohoku,8760
36361_若松,37.50439,139.85353,tohoku,8760
36667_白河,37.152897,140.2381,tohoku,8760
36846_小名浜,36.942,140.86957,tokyo,8760
40201_水戸,36.379612,140.45633,tokyo,8760
41166_奥日光,36.731106,139.48819,tokyo,8760
41277_宇都宮,36.52021,139.88235,tokyo,8760
42251_前橋,36.379612,139.04825,tokyo,8760
43056_熊谷,36.098415,139.37743,tokyo,8760
43156_秩父,36.02812,139.0803,tokyo,8760
44132_東京,35.74692,139.75516,tokyo,8760
44172_大島,34.76274,139.32912,tokyo,8760
44226_三宅島,34.13005,139.56195,tokyo,8760
44263_八丈島,33.14587,139.81549,tokyo,8760
45148_銚子,35.74692,140.79897,tokyo,8760
45212_千葉,35.606327,140.08997,tokyo,8760
45371_勝浦,35.184532,140.28061,tokyo,8760
45401_館山,34.973637,139.86023,tokyo,8760
46106_横浜,35.46573,139.61539,tokyo,8760
48156_長野,36.66081,138.24377,chubu,8760
48331_軽井沢,36.309315,138.51562,chubu,8760
48361_松本,36.239014,137.9844,chubu,8760
48491_諏訪,36.02812,138.03108,chubu,8760
48767_飯田,35.536026,137.83055,chubu,8760
49142_甲府,35.676624,138.53282,chubu,8760
49251_河口湖,35.536026,138.7548,tokyo,8760
50206_三島,35.114235,138.95541,tokyo,8760
50281_網代,35.114235,139.07007,tokyo,8760
50331_静岡,34.973637,138.37357,chubu,8760
50456_浜松,34.76274,137.73418,chubu,8760
50551_御前崎,34.622143,138.18182,chubu,8760
50561_石廊崎,34.69244,138.81163,chubu,8760
51106_名古屋,35.184532,136.95152,chubu,8760
51346_伊良湖,34.622143,137.15909,chubu,8760
52146_高山,36.168716,137.22078,chubu,8760
52586_岐阜,35.395428,136.78618,chubu,8760
53061_四日市,34.90334,136.59898,kansai,8760
53112_上野,34.76274,136.13924,kansai,8760
53133_津,34.69244,136.53603,kansai,8760
53378_尾鷲,34.059753,136.2375,kansai,8760
54157_相川,37.926186,138.32214,hokuriku,8760
54232_新潟,37.926186,139.04698,tohoku,8760
54651_高田,37.152897,138.21428,hokuriku,8760
55091_伏木,36.801403,137.06964,hokuriku,8760
55102_富山,36.731106,137.2441,hokuriku,8760
56052_輪島,37.363796,136.8526,hokuriku,8760
56227_金沢,36.590508,136.64922,hokuriku,8760
57066_福井,36.098415,136.22568,hokuriku,8760
57248_敦賀,35.676624,135.98456,kansai,8760
60131_彦根,35.254833,136.2069,kansai,8760
61111_舞鶴,35.46573,135.34616,kansai,8760
61286_京都,34.973637,135.74333,kansai,8760
62078_大阪,34.69244,135.51201,kansai,8760
63051_豊岡,35.536026,134.8267,kansai,8760
63383_姫路,34.83304,134.71483,kansai,8760
63518_神戸,34.69244,135.17067,kansai,8760
63571_洲本,34.27065,134.83061,kansai,8760
64036_奈良,34.69244,135.85335,kansai,8760
65042_和歌山,34.27065,135.16939,kansai,8760
65356_潮岬,33.497364,135.7797,kansai,8760
66186_津山,35.043934,133.96947,chugoku,8760
66408_岡山,34.69244,133.91908,chugoku,8760
67401_福山,34.411247,133.24529,chugoku,8760
67437_広島,34.411247,132.45284,chugoku,8760
67511_呉,34.20035,132.5188,chugoku,8760
68022_西郷,36.239014,133.303,chugoku,8760
68132_松江,35.46573,133.03847,chugoku,8760
68376_浜田,34.90334,132.14467,chugoku,8760
69006_境,35.536026,133.20924,chugoku,8760
69076_米子,35.395428,133.32907,chugoku,8760
69122_鳥取,35.536026,134.24904,chugoku,8760
71106_徳島,34.059753,134.55,kansai,8760
72086_高松,34.340946,134.09547,shikoku,8760
72111_多度津,34.27065,133.8143,shikoku,8760
73166_松山,33.848858,132.70236,shikoku,8760
73442_宇和島,33.216167,132.56157,shikoku,8760
74182_高知,33.56766,133.49443,shikoku,8760
74372_室戸岬,33.356766,134.11111,shikoku,8760
74447_宿毛,32.864674,132.74174,shikoku,8760
74516_清水,32.794376,132.90955,shikoku,8760
81071_萩,34.411247,131.43396,chugoku,8760
81286_山口,34.13005,131.45181,chugoku,8760
81428_下関,33.919155,130.9601,kyushu,8760
82136_飯塚,33.70826,130.69565,kyushu,8760
82182_福岡,33.56766,130.37175,kyushu,8760
83137_日田,33.286465,130.94945,kyushu,8760
83216_大分,33.216167,131.67488,kyushu,8760
84072_厳原,34.20035,129.24812,kyushu,8760
84171_平戸,33.356766,129.55556,kyushu,8760
84266_佐世保,33.14587,129.7417,kyushu,8760
84496_長崎,32.724075,129.8901,kyushu,8760
84519_雲仙岳,32.724075,130.21979,kyushu,8760
84536_福江,32.724075,128.79121,kyushu,8760
85142_佐賀,33.286465,130.2836,kyushu,8760
86141_熊本,32.794376,130.70905,kyushu,8760
86467_人吉,32.231983,130.75061,kyushu,8760
86491_牛深,32.161686,130.1572,kyushu,8760
87141_延岡,32.583477,131.65651,kyushu,8760
87376_宮崎,31.95079,131.42169,kyushu,8760
87426_都城,31.739893,131.05643,kyushu,8760
87492_油津,31.599297,131.38922,kyushu,8760
88061_阿久根,32.09139,130.21739,kyushu,8760
88317_鹿児島,31.599297,130.52695,kyushu,8760
88466_枕崎,31.3181,130.22646,kyushu,8760
88612_種子島,30.685411,130.96698,kyushu,8760
88686_屋久島,30.333918,130.62134,kyushu,8760
