row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
0,line,0,下北変電所~東通変電所線,15,11,154.0,800.21,7.4e-05,0
1,line,1,東通変電所~東通村変電所線,15,20,154.0,533.47,4.2e-05,0
2,line,2,東北電力ネットワーク 66.0kV線,12,1,66.0,137.18,0.000433,1
3,line,3,東北電力ネットワーク 66.0kV線,12,2,66.0,137.18,8.7e-05,1
4,line,4,大畑線,12,6,66.0,137.18,0.000185,0
5,line,5,下北線,11,7,154.0,533.47,0.000144,0
6,line,6,大間町変電所~東通変電所線,22,0,500.0,6928.2,3.5e-05,1
7,line,7,佐井線,13,3,66.0,137.18,6.3e-05,1
8,line,8,佐井線,3,4,66.0,137.18,0.001648,1
9,line,9,大間町変電所~佐井変電所線,3,5,66.0,68.59,0.000332,1
10,line,10,大間町変電所~佐井変電所線,17,23,66.0,68.59,8e-06,1
11,line,11,leadin,17,24,66.0,68.59,1e-06,1
12,line,12,大間町変電所~佐井変電所線,23,25,66.0,68.59,3.8e-05,1
13,line,13,大間町変電所~佐井変電所線,25,5,66.0,68.59,0.00036,1
14,line,14,leadin,5,10,66.0,68.59,0.000186,1
15,line,15,大畑線,14,6,66.0,137.18,0.000364,1
16,line,16,東通支線,6,16,66.0,137.18,0.000555,0
17,line,17,東通変電所~東通村変電所線,9,19,66.0,68.59,0.00042,0
18,line,18,東通変電所~東通村変電所線,16,21,66.0,68.59,0.000486,0
19,line,19,東通変電所~東通村変電所線,21,19,66.0,68.59,3.5e-05,0
20,line,20,東通変電所~東通村変電所線,20,18,154.0,533.47,3e-06,0
21,line,21,東通変電所~東通村変電所線,18,8,154.0,533.47,3.9e-05,0
22,line,22,namebind,871,872,66.0,68.59,0.001346,0
23,line,23,中条変電所~胎内市変電所線,871,102,66.0,68.59,0.000145,0
24,line,24,東北電力ネットワーク 66.0kV線,871,27,66.0,68.59,0.00025,0
25,line,25,東北電力ネットワーク 66.0kV線,871,173,66.0,68.59,0.001272,1
26,line,26,東北電力ネットワーク 66.0kV線,26,27,66.0,68.59,0.000527,1
27,line,27,中条変電所~新発田変電所線,27,872,66.0,68.59,0.001201,0
28,line,28,佐々木変電所~宿田変電所線,869,28,66.0,137.18,4.2e-05,1
29,line,29,佐々木変電所~坂町変電所線,869,868,66.0,137.18,0.000292,0
30,line,30,佐々木変電所~胎内市変電所線,869,102,66.0,137.18,0.000346,0
31,line,31,leadin,28,881,66.0,68.59,0.000164,1
