col,pp_bus,built_node_id,kv,lat,lon
0,0,hokkaido_jct_41.1863:141.3861:500,500.0,41.18635,141.38613
1,1,hokkaido_jct_41.2462:141.1327:66,66.0,41.24621,141.13268
2,2,hokkaido_jct_41.2898:141.1829:66,66.0,41.28982,141.1829
3,3,hokkaido_jct_41.4471:140.8899:66,66.0,41.44708,140.88993
4,4,hokkaido_jct_41.2035:140.9964:66,66.0,41.20354,140.99636
5,5,hokkaido_jct_41.4714:140.9129:66,66.0,41.47137,140.91285
6,6,hokkaido_jct_41.337:141.2024:66,66.0,41.33696,141.2024
7,7,hokkaido_jct_41.1881:141.31:154,154.0,41.18808,141.30998
8,8,hokkaido_sub_1@154,154.0,41.41063,141.44214
9,9,hokkaido_sub_1@66,66.0,41.41063,141.44214
10,10,hokkaido_sub_23,66.0,41.46523,140.88999
11,11,hokkaido_sub_30@154,154.0,41.30572,141.19351
12,12,hokkaido_sub_30@66,66.0,41.30572,141.19351
13,13,hokkaido_sub_61,66.0,41.46118,140.8871
14,14,hokkaido_sub_62,66.0,41.39963,141.15657
15,15,hokkaido_sub_63@154,154.0,41.35383,141.34125
16,16,hokkaido_sub_63@66,66.0,41.35383,141.34125
17,17,hokkaido_sub_67,66.0,41.50811,140.91146
18,18,hokkaido_sub_73@154,154.0,41.37949,141.40299
19,19,hokkaido_sub_73@66,66.0,41.37949,141.40299
20,20,hokkaido_sub_74@154,154.0,41.3768,141.40013
21,21,hokkaido_sub_74@66,66.0,41.3768,141.40013
22,22,hokkaido_sub_75@500,500.0,41.50864,140.91221
23,23,hokkaido_sub_75@66,66.0,41.50864,140.91221
24,24,hokkaido_sub_82,66.0,41.50814,140.91138
25,25,hokkaido_sub_83,66.0,41.50618,140.916
26,26,tohoku_jct_38.0553:139.3451:66,66.0,38.05531,139.34505
27,27,tohoku_jct_38.0217:139.3892:66,66.0,38.02173,139.38924
28,28,tohoku_jct_38.1266:139.4659:66,66.0,38.12663,139.46594
29,29,tohoku_jct_38.0653:139.7254:66,66.0,38.0653,139.72536
30,32,tohoku_jct_36.5817:139.2258:500,500.0,36.58171,139.22583
31,33,tohoku_jct_36.9325:140.0466:154,154.0,36.93246,140.04661
32,34,tohoku_jct_36.7616:139.9607:154,154.0,36.76156,139.96066
33,35,tohoku_jct_36.6061:139.9659:154,154.0,36.60605,139.96589
34,36,tohoku_jct_36.8777:140.0304:66,66.0,36.87766,140.0304
35,37,tohoku_jct_36.8786:140.0454:66,66.0,36.87862,140.04544
36,38,tohoku_jct_37.4673:140.0122:154,154.0,37.46733,140.01223
37,39,tohoku_jct_37.1305:140.1822:154,154.0,37.13048,140.18221
38,40,tohoku_jct_37.0583:140.1155:154,154.0,37.05831,140.11547
39,41,tohoku_jct_37.7963:139.0842:66,66.0,37.79627,139.08415
40,42,tohoku_jct_37.9052:139.1754:154,154.0,37.90524,139.17542
41,43,tohoku_jct_37.7518:138.8921:66,66.0,37.75181,138.89213
42,44,tohoku_jct_37.7964:139.0784:66,66.0,37.79635,139.07842
43,45,tohoku_jct_37.8987:139.0256:66,66.0,37.89867,139.02559
44,46,tohoku_jct_37.9242:139.2301:66,66.0,37.92416,139.23014
45,48,tohoku_jct_36.7125:139.8339:500,500.0,36.71247,139.83385
46,49,tohoku_jct_37.4699:138.9004:154,154.0,37.46995,138.90036
47,50,tohoku_jct_37.4428:138.8671:154,154.0,37.44277,138.86709
48,51,tohoku_jct_37.3802:139.0457:154,154.0,37.38016,139.04566
49,52,tohoku_jct_36.8479:139.9674:66,66.0,36.84786,139.96738
50,53,tohoku_jct_36.9156:140.0207:66,66.0,36.91556,140.02066
51,55,tohoku_jct_37.5626:139.0147:154,154.0,37.56259,139.01466
52,56,tohoku_jct_37.5641:139.0156:154,154.0,37.56411,139.01561
53,57,tohoku_jct_37.6505:139.1157:154,154.0,37.65053,139.1157
54,58,tohoku_jct_37.5583:139.7653:154,154.0,37.55834,139.76535
55,59,tohoku_jct_37.5748:139.8635:154,154.0,37.57483,139.86349
56,60,tohoku_jct_37.5613:139.969:66,66.0,37.56131,139.969
57,61,tohoku_jct_37.4357:139.9126:66,66.0,37.43572,139.91256
58,62,tohoku_jct_37.3513:139.9184:66,66.0,37.35131,139.91843
59,63,tohoku_jct_37.5152:139.907:66,66.0,37.51525,139.90698
60,64,tohoku_jct_37.496:139.9018:66,66.0,37.49596,139.90177
61,65,tohoku_jct_37.4917:139.9024:66,66.0,37.49171,139.90244
62,66,tohoku_jct_37.5513:139.8292:66,66.0,37.55127,139.82924
63,67,tohoku_jct_37.5282:139.9213:66,66.0,37.52821,139.92131
64,68,tohoku_jct_37.5389:139.9207:66,66.0,37.53893,139.92072
65,69,tohoku_jct_37.5438:139.9489:66,66.0,37.54384,139.94887
66,70,tohoku_jct_37.5525:139.9448:66,66.0,37.55253,139.94484
67,71,tohoku_jct_37.4406:139.6936:66,66.0,37.44062,139.69363
68,72,tohoku_jct_37.196:138.8515:275,275.0,37.19598,138.85154
69,73,tohoku_jct_37.4052:139.4488:154,154.0,37.40517,139.44875
70,74,tohoku_jct_37.2181:139.2242:275,275.0,37.21814,139.22415
71,75,tohoku_jct_37.3764:139.3964:275,275.0,37.37643,139.39636
72,76,tohoku_jct_37.3295:139.3073:275,275.0,37.32949,139.30729
73,77,tohoku_jct_37.1549:139.2485:275,275.0,37.15491,139.24846
74,78,tohoku_jct_37.3094:139.904:66,66.0,37.30944,139.90395
75,79,tohoku_jct_37.0123:139.6674:500,500.0,37.01226,139.66736
76,80,tohoku_jct_36.8292:139.6734:500,500.0,36.82922,139.67343
77,81,tohoku_jct_36.7166:139.8201:500,500.0,36.71657,139.82014
78,82,tohoku_jct_37.0677:139.261:275,275.0,37.06772,139.26098
79,83,tohoku_jct_36.5783:139.2251:275,275.0,36.57833,139.22511
80,84,tohoku_jct_37.5463:139.9526:66,66.0,37.54631,139.95263
81,85,tohoku_jct_37.4557:139.5993:275,275.0,37.45565,139.59925
82,86,tohoku_jct_37.4717:139.545:154,154.0,37.47174,139.54503
83,87,tohoku_jct_37.6308:139.896:66,66.0,37.63082,139.89598
84,88,tohoku_jct_37.6751:139.8871:66,66.0,37.67508,139.88706
85,89,tohoku_jct_37.6079:139.9054:66,66.0,37.6079,139.90542
86,90,tohoku_jct_37.5817:140.1143:154,154.0,37.58171,140.11432
87,91,tohoku_jct_37.6103:140.1216:154,154.0,37.61026,140.12155
88,92,tohoku_jct_37.6604:140.1092:154,154.0,37.66036,140.10922
89,93,tohoku_jct_37.619:139.6851:154,154.0,37.61902,139.68511
90,94,tohoku_jct_37.5633:139.7633:154,154.0,37.56335,139.76333
91,95,tohoku_jct_37.6155:139.6741:66,66.0,37.61546,139.67414
92,96,tohoku_jct_37.4837:139.9078:66,66.0,37.48371,139.90776
93,97,tohoku_jct_37.4854:139.9066:66,66.0,37.48542,139.90657
94,98,tohoku_jct_37.4839:139.9068:66,66.0,37.48387,139.90678
95,103,tohoku_jct_37.6277:138.9904:66,66.0,37.62774,138.99045
96,104,tohoku_jct_37.6747:139.045:66,66.0,37.67467,139.04505
97,105,tohoku_jct_37.3132:139.4461:154,154.0,37.31318,139.44607
98,108,tohoku_jct_36.9935:139.8643:500,500.0,36.99352,139.86426
99,111,tohoku_jct_37.5635:139.0135:154,154.0,37.56352,139.0135
100,113,tohoku_jct_37.3354:139.3023:275,275.0,37.33537,139.30229
101,114,tohoku_jct_37.7043:139.129:66,66.0,37.70429,139.12896
102,115,tohoku_jct_38.0583:139.4149:66,66.0,38.0583,139.41485
103,116,tohoku_jct_38.2343:139.5825:66,66.0,38.23427,139.58248
104,117,tohoku_jct_38.0719:139.5737:154,154.0,38.07193,139.57372
105,118,tohoku_jct_37.7302:139.2808:154,154.0,37.73024,139.28076
106,119,tohoku_jct_37.7198:139.3224:154,154.0,37.71985,139.32244
107,120,tohoku_jct_37.6288:139.73:66,66.0,37.62879,139.73004
108,121,tohoku_jct_37.7254:139.564:66,66.0,37.72538,139.56399
109,122,tohoku_jct_36.7951:139.8889:66,66.0,36.79509,139.88887
110,123,tohoku_jct_36.8364:139.966:66,66.0,36.83638,139.96602
111,124,tohoku_jct_36.8466:139.9837:66,66.0,36.84656,139.98373
112,125,tohoku_jct_36.8792:140.018:66,66.0,36.87915,140.01803
113,126,tohoku_jct_37.5102:139.9473:66,66.0,37.51017,139.94729
114,127,tohoku_jct_37.5415:139.8702:154,154.0,37.54151,139.87018
115,128,tohoku_jct_37.5437:139.8759:154,154.0,37.54365,139.87594
116,129,tohoku_jct_36.7255:139.225:154,154.0,36.72555,139.22497
117,130,tohoku_jct_36.9102:139.0558:275,275.0,36.91016,139.05577
118,131,tohoku_jct_36.7155:138.8442:275,275.0,36.71545,138.84416
119,132,tohoku_jct_36.7168:138.9795:154,154.0,36.71679,138.97952
120,133,tohoku_jct_37.0574:139.9118:275,275.0,37.05737,139.91177
121,134,tohoku_jct_36.7685:139.8406:275,275.0,36.76847,139.84061
122,135,tohoku_jct_36.8769:139.7059:66,66.0,36.87691,139.70595
123,136,tohoku_jct_36.9849:139.8931:66,66.0,36.98486,139.89312
124,137,tohoku_jct_37.0519:139.9282:66,66.0,37.05187,139.92822
125,138,tohoku_jct_36.9858:139.8928:66,66.0,36.98578,139.89278
126,139,tohoku_jct_36.9537:139.908:66,66.0,36.95372,139.90805
