row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
0,line,0,磯谷線,0,313,66.0,68.59,0.00071,1
1,line,1,磯谷線,0,36,66.0,274.36,1e-05,1
2,line,2,磯谷線,0,33,66.0,205.77,5.1e-05,1
3,line,3,大沼線,313,340,66.0,68.59,0.001177,1
4,line,4,本町八丁目変電所~軍川変電所線,340,303,66.0,68.59,0.000736,0
5,line,5,軍川線,340,285,66.0,137.18,0.000249,0
6,line,6,御崎線,266,295,66.0,205.77,7.1e-05,1
7,line,7,御崎変電所~Chatsu Substation線,266,288,66.0,411.54,6e-06,1
8,line,8,御崎線,295,319,66.0,205.77,0.000116,1
9,line,9,御崎線,319,265,66.0,205.77,1.9e-05,0
10,line,10,美園町六丁目変電所~若草町一丁目変電所線,319,269,66.0,68.59,0.000255,1
11,line,11,幌別線 (Horobetsu-sen),319,19,66.0,137.18,0.000173,1
12,line,12,北海道電力ネットワーク 66.0kV線,265,18,66.0,274.36,3.3e-05,0
13,line,13,胆振幹線,262,258,187.0,971.68,0.000124,0
14,line,14,室蘭西幹線,262,448,187.0,971.68,0.000224,0
15,line,15,室蘭製鉄所中央発電所線 (専任のカスタマー接続),262,300,187.0,1943.36,1.8e-05,1
16,line,16,室蘭西幹線,262,318,187.0,971.68,2.9e-05,0
17,line,17,長万部線,1,2,66.0,137.18,0.00026,0
18,line,18,長万部線,1,315,66.0,68.59,0.002246,0
19,line,19,来馬線,1,34,66.0,68.59,0.001525,0
20,line,20,今金線,2,311,66.0,68.59,0.002947,0
21,line,21,長万部線;今金線,2,260,66.0,205.77,5.3e-05,0
22,line,22,北海道電力ネットワーク 66.0kV線,3,4,66.0,137.18,0.000136,1
23,line,23,函館線,3,14,66.0,137.18,0.000118,0
24,line,24,函館線,3,15,66.0,137.18,0.000156,0
25,line,25,北海道電力ネットワーク 66.0kV線,299,298,66.0,137.18,1.6e-05,1
26,line,26,上磯線,299,305,66.0,137.18,8.2e-05,0
27,line,27,leadin,299,15,66.0,137.18,0.000206,0
28,line,28,北海道電力ネットワーク 66.0kV線,298,272,66.0,137.18,2.4e-05,1
29,line,29,苫小牧,345,39,66.0,274.36,1.1e-05,1
30,line,30,白老線 (Shiraoi-sen),345,5,66.0,137.18,0.000261,1
31,line,31,苫小牧線,345,397,66.0,137.18,0.000564,0
32,line,32,苫小牧,345,369,66.0,342.95,5e-05,1
33,line,33,泉沢線 (Izumisawa-sen),345,54,66.0,137.18,0.000993,0
34,line,34,白老線 (Shiraoi-sen),5,6,66.0,137.18,0.000749,1
35,line,35,北海道電力ネットワーク 66.0kV線,5,404,66.0,137.18,4.2e-05,1
36,line,36,白老線 (Shiraoi-sen),6,343,66.0,137.18,0.000301,1
37,line,37,白老線 (Shiraoi-sen),6,326,66.0,137.18,1.9e-05,1
38,line,38,白老線 (Shiraoi-sen),343,327,66.0,137.18,3e-05,1
39,line,39,電源開発株式会社北地域制御所~七飯発電所線,267,284,187.0,971.68,4e-06,0
40,line,40,函館幹線 (Hakodate-kansen),267,7,187.0,1943.36,3e-06,0
41,line,41,函館幹線 (Hakodate-kansen),7,448,187.0,971.68,0.000809,0
42,line,42,大野線,7,277,187.0,971.68,3.8e-05,0
43,line,43,室蘭西幹線,448,459,187.0,971.68,4e-06,0
44,line,44,双葉幹線,448,344,187.0,971.68,0.000261,0
45,line,45,道南幹線 (Dōnan-kansen),323,447,275.0,1905.26,0.000368,0
46,line,46,北斗幹線,323,276,275.0,1905.26,7e-06,0
47,line,47,道南幹線 (Dōnan-kansen),447,458,275.0,1905.26,2e-06,0
48,line,48,道央南幹線,458,353,275.0,1905.26,0.000157,0
49,line,49,道央西幹線,458,415,275.0,1905.26,8.7e-05,0
50,line,50,後志幹線,458,82,275.0,1905.26,4.7e-05,0
51,line,51,上磯線,305,8,66.0,137.18,0.000268,0
52,line,52,北海道電力ネットワーク 66.0kV線,8,35,66.0,137.18,2.1e-05,1
53,line,53,上磯線,8,279,66.0,274.36,2.5e-05,0
54,line,54,北海道電力ネットワーク 66.0kV線,261,9,66.0,68.59,4.2e-05,0
55,line,55,銭亀沢線;湯川支線,261,17,66.0,274.36,1.8e-05,0
56,line,56,北海道電力ネットワーク 66.0kV線,9,10,66.0,68.59,2.5e-05,0
57,line,57,古川ケーブルヘッド~湯川変電所線,9,273,66.0,68.59,0.000613,0
58,line,58,湯川支線,10,15,66.0,137.18,0.000424,1
59,line,59,湯川支線,10,17,66.0,137.18,3.5e-05,0
60,line,60,福島線,289,335,66.0,137.18,0.000613,0
61,line,61,福島線,289,12,66.0,137.18,0.000301,0
62,line,62,福島線,335,322,66.0,137.18,3e-05,0
63,line,63,福島線,322,11,66.0,137.18,0.000443,0
64,line,64,福島線,11,279,66.0,137.18,0.001355,0
65,line,65,北海道電力ネットワーク 66.0kV線,11,334,66.0,137.18,0.000148,1
66,line,66,大野南線,279,278,66.0,137.18,0.000339,0
67,line,67,上磯西線,279,25,66.0,137.18,0.000238,0
68,line,68,渡島当別線,279,309,66.0,68.59,6e-05,1
69,line,69,福島線,12,291,66.0,137.18,2.7e-05,0
70,line,70,松前支線,12,325,66.0,137.18,0.000668,1
71,line,72,有珠線,328,341,66.0,68.59,0.000509,0
72,line,73,有珠線,328,281,66.0,68.59,0.000297,0
73,line,74,有珠線,341,263,66.0,205.77,0.000142,0
74,line,75,室蘭発電所線 (専任のカスタマー接続),263,13,66.0,68.59,0.000493,1
75,line,76,有珠線,263,18,66.0,68.59,0.000253,0
76,line,77,北海道電力ネットワーク 66.0kV線,283,268,66.0,342.95,5e-06,0
77,line,78,函館線,283,14,66.0,137.18,0.000251,0
78,line,79,上磯西線,283,26,66.0,137.18,8.3e-05,0
79,line,80,軍川線,283,285,66.0,137.18,1.7e-05,0
80,line,81,函館線 (お客さま接続線 JR北海道),14,303,66.0,137.18,3.9e-05,0
81,line,82,戸井線,274,301,66.0,68.59,5.8e-05,0
82,line,83,銭亀沢線,274,16,66.0,137.18,0.00031,0
83,line,84,銭亀沢線,16,17,66.0,137.18,5.4e-05,0
84,line,85,北海道送電線_6,16,31,66.0,68.59,3.9e-05,1
85,line,86,恵山線,302,282,66.0,68.59,0.001282,1
86,line,87,戸井線,302,273,66.0,68.59,0.0012,1
87,line,88,室蘭東幹線,264,318,187.0,1943.36,2e-06,0
88,line,89,室蘭東幹線,318,344,187.0,971.68,0.000303,0
89,line,90,知内線,277,336,187.0,971.68,0.000234,0
90,line,91,新函館線 (お客さま接続線 JR北海道),277,306,187.0,971.68,3.5e-05,1
91,line,92,吉岡線 (お客さま接続線 JR北海道),336,290,187.0,971.68,0.000146,0
92,line,93,室蘭変電所~港北町四丁目変電所線,18,320,66.0,137.18,9.5e-05,1
93,line,94,登別青葉支線,19,331,66.0,137.18,4.8e-05,1
94,line,95,幌別線 (Horobetsu-sen),19,280,66.0,137.18,0.000237,1
95,line,96,八雲1号線,20,338,66.0,137.18,9.7e-05,1
96,line,97,八雲1号線,20,23,66.0,68.59,0.000767,0
97,line,98,八雲1号線,20,21,66.0,68.59,0.001101,0
98,line,99,八雲1号線,21,22,66.0,68.59,0.001456,0
99,line,100,八雲1号線,21,339,66.0,68.59,0.000272,0
100,line,101,八雲2号線,22,24,66.0,68.59,0.001826,0
101,line,102,八雲号線,22,32,66.0,137.18,7.8e-05,0
102,line,103,北海道送電線_2,23,24,66.0,137.18,0.000826,0
103,line,104,八雲1号線,23,268,66.0,137.18,0.000503,0
104,line,105,八雲2号線,24,339,66.0,68.59,0.000178,0
105,line,106,江差線,278,324,66.0,137.18,0.000159,0
106,line,107,江差線,324,275,66.0,137.18,0.00108,0
107,line,108,江差線,275,294,66.0,137.18,0.000853,0
108,line,109,上磯西線,25,271,66.0,137.18,0.000239,0
109,line,110,清水川支線,25,317,66.0,137.18,0.000121,1
110,line,111,上磯西線,271,26,66.0,137.18,5.7e-05,0
111,line,112,上磯西線  (お客さま接続線 JR北海道),26,304,66.0,137.18,0.000106,1
112,line,113,渡島当別線,309,308,66.0,68.59,0.000742,1
113,line,114,leadin,280,330,66.0,68.59,4.9e-05,1
114,line,115,登別線,280,329,66.0,137.18,0.000286,1
115,line,116,有珠線;長和線,27,281,66.0,274.36,1.8e-05,0
116,line,117,長和線,27,259,66.0,137.18,0.000136,0
117,line,118,有珠線,27,333,66.0,137.18,0.00053,0
118,line,119,長流線,281,28,66.0,68.59,0.000946,1
119,line,120,長流線,28,321,66.0,137.18,9.9e-05,1
120,line,121,長流線,28,332,66.0,68.59,0.000141,1
121,line,122,来馬線,452,314,66.0,68.59,0.002291,0
122,line,123,蘭越線,452,477,66.0,68.59,0.000309,1
123,line,124,昆布線,452,87,66.0,137.18,1.3e-05,0
124,line,125,虻田線,314,287,66.0,68.59,0.001495,0
125,line,126,来馬線,314,34,66.0,68.59,0.002271,0
126,line,127,作開支線,314,465,66.0,68.59,0.001883,1
127,line,128,虻田線,314,315,66.0,68.59,0.001232,0
128,line,129,虻田線,29,286,66.0,68.59,0.000237,0
129,line,130,豊浦支線,29,30,66.0,137.18,2.6e-05,1
130,line,131,虻田線,29,287,66.0,137.18,0.000308,0
131,line,132,虻田線,333,286,66.0,68.59,0.000303,0
132,line,135,鰔川線,294,293,66.0,68.59,0.000612,0
133,line,136,石崎線,294,292,66.0,68.59,0.000561,0
134,line,137,桧山線,296,293,66.0,68.59,0.001689,0
135,line,138,桧山線,296,310,66.0,68.59,0.000436,0
136,line,139,熊石線,296,297,66.0,68.59,0.001392,0
137,line,140,戸井線,273,301,66.0,68.59,2.8e-05,0
138,line,141,相沼内線,310,32,66.0,68.59,0.002321,0
139,line,142,八雲号線;相沼内線,32,260,66.0,205.77,6.3e-05,0
140,line,143,瀬棚線,311,312,66.0,68.59,0.000992,0
141,line,144,大成線,312,297,66.0,68.59,0.003143,0
142,line,145,美利河支線,34,316,66.0,68.59,0.000925,1
143,line,146,namebind,294,292,66.0,68.59,0.000578,0
144,line,148,leadin,326,270,66.0,68.59,8.8e-05,1
145,line,149,久保内線,342,332,66.0,68.59,0.000439,1
146,line,150,石崎線,292,337,66.0,68.59,2.1e-05,1
147,line,152,leadin,369,368,66.0,68.59,2.9e-05,1
148,line,153,leadin,369,370,66.0,68.59,0.000186,1
149,line,154,苫小牧線,397,351,66.0,137.18,3.1e-05,0
150,line,155,苫小牧線,351,347,66.0,205.77,1.2e-05,0
151,line,156,勇払変電所~明野元町一丁目変電所線,347,406,66.0,68.59,4.4e-05,0
152,line,157,東開町三丁目変電所~勇払変電所線,347,407,66.0,205.77,2.6e-05,0
153,line,158,港南変電所~東開町三丁目変電所線,37,40,66.0,137.18,0.000111,0
154,line,159,北海道電力ネットワーク 66.0kV線,37,407,66.0,137.18,4.2e-05,0
155,line,160,南早来変電所~東開町三丁目変電所線,37,355,66.0,274.36,0.00022,0
156,line,161,北海道電力ネットワーク 187.0kV線,352,388,187.0,1943.36,1e-06,1
157,line,162,北海道電力ネットワーク 187.0kV線,388,390,187.0,1943.36,2e-06,0
158,line,163,北海道電力ネットワーク 187.0kV線,390,394,187.0,971.68,3e-06,0
159,line,164,苫小牧火力線,390,386,187.0,971.68,8e-06,0
160,line,165,北海道電力ネットワーク 187.0kV線,394,408,187.0,971.68,4e-06,0
161,line,166,北海道電力ネットワーク 187.0kV線,408,38,187.0,971.68,4.9e-05,0
162,line,167,日高線 (Hidaka-sen),38,360,187.0,485.84,0.000714,0
163,line,168,苫小牧市変電所~南早来変電所線,38,354,187.0,1943.36,7e-06,0
164,line,169,苫小牧火力線,386,405,187.0,971.68,1e-06,0
165,line,170,苫小牧火力線,405,346,187.0,971.68,2e-06,0
166,line,171,苫小牧火力線,346,350,187.0,971.68,2e-06,0
167,line,172,苫小牧火力線,350,396,187.0,971.68,3e-06,0
168,line,173,leadin,396,398,187.0,485.84,1.3e-05,1
169,line,174,苫小牧火力線,396,344,187.0,971.68,7.4e-05,0
170,line,175,大樹線,349,348,66.0,137.18,0.001205,1
171,line,176,中札内線,349,506,66.0,411.54,0.000291,1
172,line,177,広尾線,348,412,66.0,137.18,0.001139,1
173,line,178,南早来線,353,400,275.0,3810.51,1.1e-05,0
174,line,179,道央東幹線・北江別線,353,422,275.0,3810.51,9.8e-05,0
175,line,180,狩勝幹線,353,605,275.0,1905.26,0.000244,0
176,line,181,港南変電所~東開町三丁目変電所線,395,409,66.0,137.18,3.7e-05,0
177,line,182,港南変電所~苫小牧市変電所線,395,391,66.0,342.95,8e-06,0
178,line,183,港南変電所~苫小牧市変電所線,395,411,66.0,205.77,7e-06,1
179,line,184,港南変電所~東開町三丁目変電所線,409,40,66.0,137.18,4.2e-05,0
180,line,185,北海道電力ネットワーク 66.0kV線,40,410,66.0,137.18,8.1e-05,1
181,line,186,北海道電力ネットワーク 66.0kV線,406,387,66.0,68.59,1.2e-05,0
182,line,187,岩知志線,41,553,66.0,68.59,0.003748,0
183,line,188,岩知志線,41,602,66.0,68.59,0.00076,1
184,line,189,振内支線,41,383,66.0,68.59,9.9e-05,0
185,line,190,富川線,553,42,66.0,68.59,0.000698,0
186,line,191,早来線 (Hayakita-sen),553,355,66.0,137.18,0.000297,0
187,line,192,千歳線,553,631,66.0,137.18,0.000604,0
188,line,193,富川線,42,372,66.0,137.18,4.6e-05,1
189,line,194,富川線,42,57,66.0,68.59,0.001236,0
190,line,195,高見線,360,364,187.0,971.68,3e-05,0
191,line,196,奥新冠線,360,45,187.0,485.84,6.1e-05,0
192,line,197,北海道電力ネットワーク 66.0kV線,43,356,66.0,137.18,1.7e-05,1
193,line,198,南早来変電所~苫小牧市変電所線,43,355,66.0,548.71,4.7e-05,0
194,line,199,北海道電力ネットワーク 66.0kV線,43,53,66.0,274.36,2.8e-05,0
