row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
0,line,0,leadin,25,87,66.0,68.59,0.000179,1
1,line,1,那覇高安線; 那覇小禄線,25,0,66.0,137.18,4e-05,0
2,line,2,那覇高安線; 小禄線,25,1,66.0,137.18,0.000103,0
3,line,3,leadin,0,90,66.0,68.59,0.000115,1
4,line,4,那覇高安線; 那覇小禄線,0,50,66.0,137.18,3.3e-05,0
5,line,5,那覇変電所~壷川変電所線,50,19,66.0,68.59,7.3e-05,0
6,line,6,那覇高安線; 小禄線,1,2,66.0,137.18,4.8e-05,0
7,line,7,繁多川線,1,26,66.0,137.18,9.5e-05,1
8,line,8,那覇高安線; 小禄線,2,66,66.0,137.18,7.6e-05,0
9,line,9,沖縄電力 66.0kV線,2,83,66.0,137.18,6.4e-05,1
10,line,10,leadin,63,91,66.0,68.59,0.000202,1
11,line,11,西原幹線;前田線,63,89,66.0,68.59,6.5e-05,0
12,line,12,浦添大名線,63,84,66.0,68.59,0.000495,1
13,line,13,西原幹線,62,52,132.0,823.07,2.3e-05,0
14,line,14,西原幹線;前田線,62,88,132.0,823.07,5e-06,0
15,line,15,leadin,26,3,66.0,205.77,4.2e-05,1
16,line,16,友寄変電所~大里変電所線,66,69,66.0,68.59,0.000373,1
17,line,17,友寄変電所~南風原変電所線,66,28,66.0,68.59,0.000178,0
18,line,18,沖縄電力 66.0kV線,66,14,66.0,68.59,0.000159,1
19,line,19,大里変電所~沖縄電力与根変電所線,69,40,66.0,68.59,0.00039,1
20,line,20,南風原変電所~与那原変電所線,28,49,66.0,68.59,0.00023,0
21,line,21,友寄変電所~南風原変電所線,65,27,132.0,823.07,1.4e-05,0
22,line,22,南風原変電所~与那原変電所線,27,48,132.0,823.07,1.8e-05,0
23,line,23,与那原変電所~西原変電所線,49,82,66.0,68.59,0.000332,0
24,line,24,与那原変電所~西原変電所線,48,81,132.0,823.07,2.6e-05,0
25,line,25,namebind,42,23,66.0,137.18,0.000718,0
26,line,26,松田変電所~Henoko Substation線,42,41,66.0,137.18,3.2e-05,0
27,line,27,喜瀬変電所~名護市変電所線,4,5,66.0,137.18,0.000439,0
28,line,28,恩納村変電所~喜瀬変電所線,4,9,66.0,68.59,0.001563,0
29,line,29,沖縄電力 66.0kV線,4,78,66.0,68.59,9e-05,1
30,line,30,沖縄電力 66.0kV線,5,6,66.0,68.59,0.000216,0
31,line,31,沖縄電力 66.0kV線,5,77,66.0,68.59,4.3e-05,1
32,line,32,名護市変電所~名護電力所線,6,8,66.0,68.59,2.6e-05,1
33,line,33,Henoko Substation~名護市変電所線,6,38,66.0,137.18,0.000452,0
34,line,34,伊芸変電所~石川東山二丁目変電所線,7,22,132.0,548.71,8e-06,1
35,line,35,伊芸変電所~石川東山二丁目変電所線,22,60,132.0,274.36,7.8e-05,0
36,line,36,沖縄電力 66.0kV線,8,43,66.0,68.59,0.000133,1
37,line,37,名護電力所~田港変電所線,8,70,66.0,68.59,0.001362,1
38,line,38,沖縄電力 66.0kV線,43,16,66.0,68.59,0.000333,1
39,line,39,うるま市変電所~石川東恩納変電所線,45,74,66.0,68.59,0.000198,0
40,line,40,美里六丁目変電所~うるま市変電所線,45,57,66.0,68.59,0.000397,0
41,line,41,うるま市変電所~石川東恩納変電所線,44,73,132.0,274.36,4.6e-05,0
42,line,42,美里六丁目変電所~うるま市変電所線,44,56,132.0,1371.78,1.8e-05,0
43,line,43,うるま市変電所~仲泊変電所線,44,32,132.0,274.36,0.0001,1
44,line,44,宇堅変電所~うるま市変電所線,44,17,132.0,274.36,0.000108,0
45,line,45,うるま市変電所~石川曙三丁目変電所線,44,80,132.0,274.36,4.7e-05,1
46,line,46,宇堅変電所~石川東恩納変電所線,73,72,132.0,548.71,2.6e-05,0
47,line,47,美里六丁目変電所~瑞慶覧変電所線,57,55,66.0,68.59,0.000596,0
48,line,48,美里六丁目変電所~瑞慶覧変電所線,56,54,132.0,1097.43,3.4e-05,0
49,line,49,西原変電所~渡口変電所線,47,12,66.0,68.59,0.000384,0
50,line,50,瑞慶覧変電所~渡口変電所線,47,55,66.0,68.59,0.000243,0
51,line,51,渡口変電所~美里六丁目変電所線,47,71,66.0,205.77,0.000333,1
52,line,52,西原変電所~渡口変電所線,46,81,132.0,823.07,7.3e-05,0
53,line,53,渡口変電所~美里六丁目変電所線,46,17,132.0,274.36,0.000164,0
54,line,54,仲泊変電所~石川東山一丁目変電所線,32,58,132.0,274.36,4.4e-05,0
