col,pp_bus,built_node_id,kv,lat,lon
0,0,okinawa_jct_26.1993:127.6699:66,66.0,26.19928,127.66986
1,1,okinawa_jct_26.1834:127.6991:66,66.0,26.18341,127.69915
2,2,okinawa_jct_26.175:127.7028:66,66.0,26.17495,127.70283
3,3,okinawa_jct_26.2111:127.7197:66,66.0,26.21105,127.71969
4,4,okinawa_jct_26.5258:127.9427:66,66.0,26.5258,127.94273
5,5,okinawa_jct_26.5809:127.9937:66,66.0,26.58095,127.99368
6,6,okinawa_jct_26.5991:128.0001:66,66.0,26.59906,128.00007
7,7,okinawa_jct_26.4622:127.8789:132,132.0,26.46217,127.87889
8,8,okinawa_jct_26.6013:127.9988:66,66.0,26.60131,127.9988
9,9,okinawa_jct_26.4539:127.8427:66,66.0,26.45393,127.84266
10,10,okinawa_jct_26.4311:127.8401:66,66.0,26.43108,127.84008
11,11,okinawa_jct_26.4311:127.8401:132,132.0,26.43108,127.84008
12,12,okinawa_jct_26.275:127.7958:66,66.0,26.27504,127.7958
13,13,okinawa_jct_26.2776:127.749:66,66.0,26.27756,127.74895
14,14,okinawa_jct_26.1637:127.7379:66,66.0,26.16374,127.73789
15,15,okinawa_jct_26.6765:127.9317:66,66.0,26.67648,127.93166
16,16,okinawa_jct_26.6367:127.9646:66,66.0,26.63672,127.96456
17,17,okinawa_jct_26.3538:127.8519:132,132.0,26.35377,127.85189
18,18,okinawa_jct_26.66:127.9549:66,66.0,26.66001,127.95486
19,19,okinawa_jct_26.2061:127.6737:66,66.0,26.20613,127.67372
20,20,okinawa_jct_26.6715:128.267:0,66.0,26.67147,128.26696
21,21,okinawa_sub_0,66.0,26.21792,127.68063
22,22,okinawa_sub_1@132,132.0,26.46196,127.87175
23,23,okinawa_sub_1@66,66.0,26.46196,127.87175
24,24,okinawa_sub_2,66.0,26.6934,127.8826
25,25,okinawa_sub_3,66.0,26.1906,127.67485
26,26,okinawa_sub_4,66.0,26.19882,127.71348
27,27,okinawa_sub_5@132,132.0,26.18261,127.73222
28,28,okinawa_sub_5@66,66.0,26.18261,127.73222
29,29,okinawa_sub_6,66.0,26.1291,127.7508
30,30,okinawa_sub_7@132,132.0,26.28414,127.75447
31,31,okinawa_sub_7@66,66.0,26.28414,127.75447
32,32,okinawa_sub_8@132,132.0,26.43265,127.81568
33,33,okinawa_sub_8@66,66.0,26.43265,127.81568
34,35,okinawa_sub_10@132,132.0,26.28634,127.75702
35,36,okinawa_sub_10@66,66.0,26.28634,127.75702
36,37,okinawa_sub_11,66.0,26.22572,127.68533
37,38,okinawa_sub_12,66.0,26.22063,127.68264
38,39,okinawa_sub_13,66.0,26.52565,128.03367
39,40,okinawa_sub_14,66.0,26.22157,127.68076
40,41,okinawa_sub_15,66.0,26.16423,127.66237
41,42,okinawa_sub_16,66.0,26.51637,127.99792
42,43,okinawa_sub_17,66.0,26.50943,127.99156
43,44,okinawa_sub_18,66.0,26.61066,127.98775
44,45,okinawa_sub_19@132,132.0,26.39147,127.82675
45,46,okinawa_sub_19@66,66.0,26.39147,127.82675
46,47,okinawa_sub_20@132,132.0,26.30445,127.81164
47,48,okinawa_sub_20@66,66.0,26.30445,127.81164
48,49,okinawa_sub_21@132,132.0,26.20392,127.74712
49,50,okinawa_sub_21@66,66.0,26.20392,127.74712
50,51,okinawa_sub_22,66.0,26.20543,127.66559
51,52,okinawa_sub_23,66.0,26.26018,127.70948
52,53,okinawa_sub_24@132,132.0,26.26795,127.71983
53,54,okinawa_sub_24@66,66.0,26.26795,127.71983
54,55,okinawa_sub_25@132,132.0,26.30799,127.78182
55,56,okinawa_sub_25@66,66.0,26.30799,127.78182
56,57,okinawa_sub_26@132,132.0,26.35455,127.80673
57,58,okinawa_sub_26@66,66.0,26.35455,127.80673
58,59,okinawa_sub_27@132,132.0,26.44333,127.83502
59,60,okinawa_sub_27@66,66.0,26.44333,127.83502
60,61,okinawa_sub_28@132,132.0,26.44228,127.83814
61,62,okinawa_sub_28@66,66.0,26.44228,127.83814
62,63,okinawa_sub_29@132,132.0,26.24339,127.74191
63,64,okinawa_sub_29@66,66.0,26.24339,127.74191
64,65,okinawa_sub_30,66.0,26.23217,127.77158
65,66,okinawa_sub_31@132,132.0,26.16586,127.71949
66,67,okinawa_sub_31@66,66.0,26.16586,127.71949
67,68,okinawa_sub_32,66.0,26.15977,127.78619
68,69,okinawa_sub_33,66.0,26.6574,127.90821
69,70,okinawa_sub_34,66.0,26.13701,127.69172
70,71,okinawa_sub_35@66,66.0,26.65619,128.12969
71,72,okinawa_sub_36,66.0,26.33242,127.88054
72,73,okinawa_sub_37,132.0,26.38108,127.87334
73,74,okinawa_sub_38@132,132.0,26.39337,127.85248
74,75,okinawa_sub_38@66,66.0,26.39337,127.85248
75,76,okinawa_sub_39,66.0,26.67315,127.97788
76,77,okinawa_sub_40,66.0,26.61132,127.9383
77,78,okinawa_sub_41,66.0,26.58505,127.9927
78,79,okinawa_sub_42,66.0,26.53501,127.93994
79,80,okinawa_sub_43,66.0,26.45721,127.82714
80,81,okinawa_sub_44,132.0,26.41119,127.82268
