row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
0,line,25,東京送電線_111,1118,1119,110.0,171.47,9.8e-05,1
1,line,36,小海町変電所~川上村変電所線,2161,2160,77.0,93.36,0.000683,1
2,line,50,東京送電線_263,436,1231,77.0,93.36,1.9e-05,1
3,line,52,東京送電線_269,755,1294,77.0,93.36,1.9e-05,1
4,line,53,tokyo_line_4027,1115,635,154.0,266.74,1.9e-05,0
5,line,54,tokyo_line_4028,1115,731,154.0,266.74,1.3e-05,0
6,line,55,tokyo_line_4037,35,1381,66.0,137.18,0.000367,1
7,line,56,tokyo_line_4038,35,1332,66.0,68.59,7.7e-05,1
8,line,57,tokyo_line_4042,39,1247,77.0,93.36,0.000175,0
9,line,58,tokyo_line_4047,241,533,154.0,266.74,1.5e-05,1
10,line,59,tokyo_line_4049,788,789,110.0,342.95,2.9e-05,1
11,line,62,tokyo_line_4057,580,87,275.0,266.74,0.000595,0
12,line,63,tokyo_line_4058,1104,326,77.0,186.72,0.000175,1
13,line,64,tokyo_line_4059,725,1110,154.0,266.74,9e-06,1
14,line,65,tokyo_line_4061,729,1117,110.0,171.47,7.9e-05,1
15,line,68,tokyo_line_4065,1320,40,500.0,3464.1,3e-06,1
16,line,70,tokyo_line_4070,776,351,77.0,93.36,0.00057,0
17,line,71,tokyo_line_4076,496,817,77.0,93.36,0.000148,1
18,line,72,tokyo_line_4077,491,823,77.0,93.36,0.000328,1
19,line,73,tokyo_line_4081,834,822,77.0,93.36,0.000245,0
20,line,74,tokyo_line_4082,750,837,77.0,93.36,1.1e-05,1
21,line,78,tokyo_line_4147,761,1063,66.0,68.59,0.002224,0
22,line,79,tokyo_line_4161,1246,1247,77.0,93.36,0.00028,0
23,line,80,tokyo_line_4163,1247,2371,77.0,93.36,0.000204,1
24,line,81,tokyo_line_4211,337,339,154.0,266.74,1e-06,1
25,line,82,tokyo_line_4214,1120,531,110.0,171.47,4.9e-05,1
26,line,83,leadin,1358,5,66.0,137.18,4.9e-05,1
27,line,84,正法寺新長浜線,1358,1353,66.0,137.18,3.5e-05,1
28,line,85,leadin,1353,890,66.0,137.18,2.9e-05,0
29,line,86,伊吹新長浜線,1353,6,66.0,137.18,0.00032,1
30,line,87,新長浜支線,0,1,77.0,280.07,4.5e-05,0
31,line,88,新長浜変電所~長浜変電所線,0,7,77.0,93.36,7.6e-05,1
32,line,89,新長浜支線,0,1352,77.0,466.79,8e-06,0
33,line,90,新長浜支線,1,2,77.0,280.07,2.1e-05,0
34,line,91,中部送電線_1,1,1360,77.0,186.72,1.3e-05,0
35,line,92,新長浜支線,2,3,77.0,280.07,9e-05,1
36,line,93,高月町変電所~小沢変電所線,2,1037,77.0,186.72,0.000238,0
37,line,94,湖東新長浜線,4,2098,77.0,186.72,0.000193,0
38,line,95,湖東新長浜線,4,1352,77.0,373.43,1.7e-05,0
39,line,96,新長浜変電所~湖東変電所線,4,1524,77.0,186.72,0.000275,0
40,line,97,東海旅客鉄道 77.0kV線,2098,1791,77.0,93.36,1.9e-05,0
41,line,98,湖東新長浜線,2098,1524,77.0,373.43,2e-05,0
42,line,99,leadin,2098,785,77.0,93.36,8.4e-05,0
43,line,101,毛受分岐線,1362,8,66.0,68.59,5e-06,1
44,line,102,namebind,1362,14,66.0,137.18,5.2e-05,1
45,line,103,起変電所~毛受変電所(Menjo-Hendensho)線,1362,17,66.0,411.54,6.3e-05,0
46,line,105,久居南勢線,9,10,77.0,186.72,0.000237,1
47,line,106,中勢久居線,9,603,77.0,186.72,0.000198,0
48,line,107,近鉄中川分岐線,9,1894,77.0,93.36,5.8e-05,1
49,line,108,中勢三雲線,11,12,77.0,186.72,1e-06,1
50,line,109,中勢三雲線,11,604,77.0,186.72,0.000198,0
51,line,110,三雲鎌田線,11,629,77.0,186.72,0.000221,1
52,line,111,東浦北豊田線,13,1423,275.0,3810.51,1.7e-05,0
53,line,112,中部電力東境変電所~東名古屋変電所線,13,1497,275.0,1905.26,3e-06,0
54,line,113,東浦北豊田線,13,2109,275.0,7621.02,6e-06,0
55,line,114,中部電力パワーグリッド 日進変電所~北豊田変電所 (Kita Toyota Hendensho)線,1423,83,275.0,1905.26,3e-06,0
56,line,115,中部電力パワーグリッド 275.0kV線,1423,66,275.0,5715.77,0.0,0
57,line,118,信楽支線,2321,15,77.0,186.72,0.000441,1
58,line,119,柏木変電所~深川変電所線,15,372,77.0,466.79,5e-05,1
59,line,120,中部電力パワーグリッド 77.0kV線,15,2210,77.0,466.79,3.5e-05,1
60,line,121,菊川変電所~中部電力パワーグリッド 菊川変電所線,1365,2335,77.0,186.72,3.9e-05,1
61,line,122,菊川分岐線,1365,16,77.0,186.72,0.000113,1
62,line,123,新菊川変電所~駿遠変電所線,1364,16,77.0,186.72,0.000103,1
63,line,124,中部電力パワーグリッド 77.0kV線,16,330,77.0,186.72,9.3e-05,1
64,line,125,駿遠変電所~500 kV switching station線,1613,1466,500.0,13856.41,0.0,0
65,line,126,静岡変電所~駿遠変電所線,1613,1903,500.0,6928.2,4e-06,0
66,line,127,駿遠幹線,1613,1369,500.0,13856.41,1.3e-05,0
67,line,128,駿遠変電所~500 kV switching station線,1466,2086,500.0,13856.41,8e-06,0
68,line,129,500 kV switching station~上ノ原変電所線,2086,2103,500.0,10392.3,0.0,0
69,line,132,中部送電線_1023,17,1283,66.0,68.59,5.1e-05,1
70,line,133,起変電所~祖父江町祖父江変電所線,17,2450,66.0,480.12,6e-05,0
71,line,134,長野市変電所~東塩田変電所線,18,19,77.0,186.72,0.000246,1
72,line,135,長野市変電所~東塩田変電所線,19,2464,77.0,186.72,0.000821,0
73,line,136,更埴八幡変電所~長野市変電所線,19,36,77.0,93.36,0.000183,1
74,line,137,更埴八幡変電所~長野市変電所線,19,37,77.0,93.36,0.000129,0
75,line,138,東塩田変電所~御所変電所線,2464,772,77.0,93.36,0.000216,0
76,line,141,中部送電線_37,20,51,154.0,266.74,0.000125,1
77,line,143,岩倉枇杷島線 (Iwakura Biwajima Sen),1367,1645,77.0,746.86,3.9e-05,0
78,line,144,岩倉北一宮-1,1367,1577,77.0,186.72,0.000104,0
79,line,145,岩倉枇杷島線 (Iwakura Biwajima Sen),1645,414,77.0,373.43,5e-06,1
80,line,146,名北変電所~楠町変電所線,1645,126,77.0,373.43,4.6e-05,0
81,line,147,岩倉枇杷島線 (Iwakura Biwajima Sen),1645,1496,77.0,560.15,3.9e-05,0
82,line,148,楠町変電所~新福寺町二丁目変電所線,1645,1622,77.0,186.72,0.00011,0
83,line,149,岩倉稲沢線 (Iwakura Inazawa Sen),1366,21,154.0,1600.41,1e-06,1
84,line,150,岩倉北一宮線,1366,53,154.0,533.47,2.2e-05,0
85,line,151,岩倉稲沢線,1366,2444,154.0,1600.41,1e-05,0
86,line,152,犬山岩倉線 (Inuyama Iwakura Sen),1366,267,154.0,533.47,2.2e-05,0
