line_idx,name,voltage_kv,ac_converged,vmin,vmax,max_loading_pct,n_overload,delta_max_load
186,chubu_line_186,500.0,True,0.871,1.0098,876.84,17,758.37
68,chubu_line_68,500.0,True,0.871,1.0098,835.54,17,717.07
782,chubu_line_782,275.0,True,0.871,1.0098,690.66,24,572.19
800,chubu_line_800,275.0,True,0.871,1.0098,669.14,14,550.67
788,chubu_line_788,275.0,True,0.871,1.0098,571.87,22,453.4
840,chubu_line_840,500.0,True,0.871,1.0098,430.1,40,311.63
843,chubu_line_843,500.0,True,0.871,1.0098,425.27,32,306.8
754,chubu_line_754,275.0,True,0.871,1.0098,414.44,33,295.97
841,chubu_line_841,500.0,True,0.871,1.0098,341.06,39,222.59
155,chubu_line_155,275.0,True,0.871,1.0098,317.65,34,199.18
187,chubu_line_187,500.0,True,0.871,1.0098,297.42,22,178.95
437,chubu_line_437,275.0,True,0.871,1.0098,275.21,18,156.74
350,chubu_line_350,500.0,True,0.871,1.0098,245.73,29,127.26
159,chubu_line_159,275.0,True,0.871,1.0098,230.29,41,111.82
161,chubu_line_161,275.0,True,0.871,1.0098,228.81,40,110.34
474,chubu_line_474,275.0,True,0.871,1.0098,226.16,16,107.68
790,chubu_line_790,275.0,True,0.871,1.0098,214.79,33,96.32
888,chubu_line_888,275.0,True,0.871,1.0099,213.74,26,95.27
144,chubu_line_144,275.0,True,0.871,1.0098,198.0,35,79.53
311,chubu_line_311,275.0,True,0.871,1.0098,193.93,14,75.46
19,chubu_line_19,275.0,True,0.871,1.0098,188.79,39,70.32
309,chubu_line_309,275.0,True,0.871,1.0098,177.89,14,59.42
803,chubu_line_803,275.0,True,0.871,1.0098,177.4,30,58.92
771,chubu_line_771,275.0,True,0.871,1.0098,174.04,16,55.57
789,chubu_line_789,275.0,True,0.871,1.0098,170.56,13,52.09
908,chubu_line_908,275.0,True,0.871,1.01,169.87,14,51.4
35,chubu_line_35,500.0,True,0.871,1.0098,165.55,30,47.08
402,chubu_line_402,500.0,True,0.871,1.0098,165.14,30,46.67
1332,chubu_line_1332,275.0,True,0.871,1.0098,163.3,18,44.82
105,chubu_line_105,500.0,True,0.871,1.0098,159.43,13,40.96
