line_idx,name,voltage_kv,ac_converged,vmin,vmax,max_loading_pct,n_overload,delta_max_load
371,chugoku_line_371,500.0,True,0.906,1.0049,617.98,9,518.54
373,chugoku_line_373,500.0,True,0.906,1.0049,616.56,9,517.13
454,chugoku_line_454,500.0,True,0.9058,1.0047,342.57,9,243.14
526,chugoku_line_526,275.0,True,0.906,1.0049,318.76,5,219.33
528,chugoku_line_528,275.0,True,0.906,1.0048,313.87,6,214.44
554,chugoku_line_554,220.0,True,0.906,1.0049,268.47,5,169.03
417,chugoku_line_417,220.0,True,0.906,1.0049,258.45,4,159.01
524,chugoku_line_524,275.0,True,0.9066,1.0021,175.73,17,76.3
523,chugoku_line_523,275.0,True,0.9065,1.0021,172.59,17,73.15
924,chugoku_line_924,220.0,True,0.906,1.0049,167.73,1,68.3
366,chugoku_line_366,500.0,True,0.906,1.0049,167.47,3,68.04
922,chugoku_line_922,220.0,True,0.906,1.0048,131.73,1,32.29
252,chugoku_line_252,500.0,True,0.9056,1.0033,128.88,6,29.45
668,chugoku_line_668,500.0,True,0.9061,1.0049,123.69,1,24.26
161,chugoku_line_161,500.0,True,0.9061,1.0044,118.99,1,19.55
470,chugoku_line_470,500.0,True,0.9061,1.0044,118.47,1,19.03
656,chugoku_line_656,220.0,True,0.9061,1.0043,117.78,1,18.35
486,chugoku_line_486,500.0,True,0.9061,1.0053,110.7,1,11.26
61,chugoku_line_61,500.0,True,0.906,1.0049,110.54,1,11.1
238,chugoku_line_238,220.0,True,0.906,1.0049,110.48,1,11.04
557,chugoku_line_557,220.0,True,0.906,1.0051,108.94,2,9.51
426,chugoku_line_426,220.0,True,0.906,1.0049,107.47,1,8.04
196,chugoku_line_196,500.0,True,0.906,1.003,106.68,3,7.24
169,chugoku_line_169,220.0,True,0.906,1.0048,106.65,1,7.21
563,chugoku_line_563,220.0,True,0.906,1.0049,105.13,1,5.7
564,chugoku_line_564,220.0,True,0.906,1.0048,104.0,1,4.57
519,chugoku_line_519,220.0,True,0.9038,1.0049,103.91,1,4.48
920,chugoku_line_920,220.0,True,0.906,1.0047,103.66,1,4.23
485,chugoku_line_485,500.0,True,0.9042,1.0049,103.43,1,3.99
30,chugoku_line_30,220.0,True,0.9058,1.0049,101.4,1,1.97
