line_idx,name,voltage_kv,ac_converged,vmin,vmax,max_loading_pct,n_overload,delta_max_load
60,hokkaido_line_60,275.0,True,0.8058,1.0039,200.04,9,91.08
183,hokkaido_line_183,275.0,True,0.796,1.0058,159.84,14,50.87
306,hokkaido_line_306,275.0,True,0.8044,1.0044,132.57,7,23.61
63,hokkaido_line_63,275.0,True,0.8069,1.0041,119.85,3,10.89
207,hokkaido_line_207,275.0,True,0.796,1.0048,119.54,3,10.58
189,hokkaido_line_189,275.0,True,0.8046,1.0033,112.6,2,3.64
57,hokkaido_line_57,275.0,True,0.8069,1.0041,108.96,2,-0.0
59,hokkaido_line_59,275.0,True,0.8069,1.0041,108.96,2,-0.0
81,hokkaido_line_81,275.0,True,0.8069,1.0041,108.96,2,-0.0
108,hokkaido_line_108,500.0,True,0.8069,1.0041,108.96,2,-0.0
109,hokkaido_line_109,500.0,True,0.8069,1.0041,108.96,2,-0.0
110,hokkaido_line_110,500.0,True,0.8069,1.0041,108.96,2,-0.0
111,hokkaido_line_111,500.0,True,0.8069,1.0041,108.96,2,-0.0
344,hokkaido_line_344,275.0,True,0.8069,1.0041,108.96,2,0.0
62,hokkaido_line_62,275.0,True,0.8069,1.0041,108.95,2,-0.01
86,hokkaido_line_86,275.0,True,0.9924,1.0021,22.07,0,-86.89
