line_idx,name,voltage_kv,ac_converged,vmin,vmax,max_loading_pct,n_overload,delta_max_load
545,hokuriku_line_545,500.0,True,0.9562,1.0204,338.99,2,237.36
15,hokuriku_line_15,500.0,True,0.955,1.0204,338.62,2,237.0
420,hokuriku_line_420,275.0,True,0.9846,1.0204,103.32,1,1.69
283,hokuriku_line_283,275.0,True,0.9846,1.0204,102.92,2,1.3
97,hokuriku_line_97,275.0,True,0.9846,1.0204,102.41,1,0.78
101,hokuriku_line_101,275.0,True,0.9846,1.0204,102.04,1,0.42
293,hokuriku_line_293,275.0,True,0.9846,1.0204,101.92,1,0.29
543,hokuriku_line_543,500.0,True,0.9846,1.0204,101.88,1,0.25
286,hokuriku_line_286,275.0,True,0.9846,1.0204,101.82,1,0.2
7,hokuriku_line_7,500.0,True,0.9846,1.0204,101.79,1,0.17
19,hokuriku_line_19,500.0,True,0.9846,1.0204,101.78,1,0.15
170,hokuriku_line_170,275.0,True,0.9846,1.0204,101.65,1,0.02
0,hokuriku_line_0,500.0,True,0.9846,1.0135,101.63,1,-0.0
3,hokuriku_line_3,500.0,True,0.9846,1.0121,101.63,1,0.0
10,hokuriku_line_10,500.0,True,0.9846,1.0204,101.63,1,-0.0
46,hokuriku_line_46,500.0,True,0.9846,1.0204,101.63,1,-0.0
49,hokuriku_line_49,275.0,True,0.9846,1.0204,101.62,1,-0.0
53,hokuriku_line_53,500.0,True,0.9846,1.0204,101.63,1,0.0
86,hokuriku_line_86,275.0,True,0.9846,1.0204,101.62,1,-0.0
90,hokuriku_line_90,275.0,True,0.9846,1.0204,101.63,1,0.0
91,hokuriku_line_91,275.0,True,0.9846,1.0204,101.62,1,-0.0
98,hokuriku_line_98,275.0,True,0.9846,1.0204,101.63,1,0.0
100,hokuriku_line_100,275.0,True,0.9846,1.0204,101.63,1,0.0
113,hokuriku_line_113,275.0,True,0.9846,1.0204,101.63,1,-0.0
115,hokuriku_line_115,275.0,True,0.9846,1.0204,101.62,1,-0.0
126,hokuriku_line_126,275.0,True,0.9846,1.0204,101.62,1,-0.0
400,hokuriku_line_400,275.0,True,0.9846,1.0204,101.62,1,-0.0
482,hokuriku_line_482,275.0,True,0.9846,1.0204,101.63,1,0.0
483,hokuriku_line_483,275.0,True,0.9846,1.0204,101.63,1,0.0
485,hokuriku_line_485,275.0,True,0.9846,1.0204,101.63,1,0.0
