line_idx,name,voltage_kv,ac_converged,vmin,vmax,max_loading_pct,n_overload,delta_max_load
173,kyushu_line_173,220.0,False,,,,,
451,kyushu_line_451,220.0,True,0.8118,1.0154,549.43,19,415.52
552,kyushu_line_552,220.0,True,0.878,1.0154,386.24,22,252.33
419,kyushu_line_419,500.0,True,0.8824,1.0154,385.53,10,251.62
430,kyushu_line_430,500.0,True,0.8823,1.0154,358.43,25,224.51
151,kyushu_line_151,220.0,True,0.8824,1.0154,353.79,25,219.88
75,kyushu_line_75,220.0,True,0.8824,1.0154,275.04,17,141.12
998,kyushu_line_998,220.0,True,0.8084,1.0154,262.36,25,128.44
449,kyushu_line_449,220.0,True,0.8824,1.0154,258.94,13,125.02
1006,kyushu_line_1006,220.0,True,0.8049,1.0154,257.84,26,123.93
77,kyushu_line_77,220.0,True,0.8824,1.0154,257.76,17,123.84
101,kyushu_line_101,220.0,True,0.8823,1.0154,241.28,12,107.37
318,kyushu_line_318,220.0,True,0.8824,1.0154,240.02,16,106.11
1028,kyushu_line_1028,220.0,True,0.8815,1.0154,230.77,13,96.86
553,kyushu_line_553,220.0,True,0.8824,1.0154,221.2,10,87.28
625,kyushu_line_625,220.0,True,0.8824,1.0154,217.86,15,83.94
126,kyushu_line_126,220.0,True,0.8823,1.0154,211.71,10,77.79
443,kyushu_line_443,220.0,True,0.882,1.0154,209.91,20,75.99
259,kyushu_line_259,220.0,True,0.8824,1.0154,202.2,29,68.29
450,kyushu_line_450,220.0,True,0.8805,1.0154,199.86,25,65.95
272,kyushu_line_272,500.0,True,0.8824,1.0154,195.42,12,61.5
335,kyushu_line_335,220.0,True,0.8824,1.0154,195.0,11,61.09
270,kyushu_line_270,500.0,True,0.8824,1.0154,194.75,12,60.84
31,kyushu_line_31,220.0,True,0.8824,1.0154,193.21,27,59.3
437,kyushu_line_437,500.0,True,0.8801,1.0154,192.07,20,58.16
17,kyushu_line_17,220.0,True,0.8823,1.0154,191.59,13,57.67
539,kyushu_line_539,220.0,True,0.8824,1.0154,189.91,19,56.0
74,kyushu_line_74,220.0,True,0.8824,1.0154,186.85,12,52.93
260,kyushu_line_260,220.0,True,0.8824,1.0154,184.92,23,51.0
566,kyushu_line_566,220.0,True,0.8823,1.0154,180.17,19,46.26
