line_idx,name,voltage_kv,ac_converged,vmin,vmax,max_loading_pct,n_overload,delta_max_load
198,shikoku_line_198,500.0,True,0.8334,1.0031,286.32,3,188.68
29,shikoku_line_29,500.0,True,0.8334,1.003,232.49,2,134.84
259,shikoku_line_259,220.0,True,0.8334,1.0031,171.02,2,73.38
331,shikoku_line_331,220.0,True,0.8334,1.0031,133.83,1,36.18
67,shikoku_line_67,500.0,True,0.8334,1.002,97.78,0,0.14
256,shikoku_line_256,500.0,True,0.8334,1.002,97.72,0,0.07
257,shikoku_line_257,500.0,True,0.8334,1.0027,97.65,0,0.01
1,shikoku_line_1,220.0,True,0.8334,1.0031,97.64,0,-0.0
97,shikoku_line_97,500.0,True,0.8334,1.0031,97.64,0,0.0
111,shikoku_line_111,500.0,True,0.8334,1.0031,97.64,0,-0.0
137,shikoku_line_137,220.0,True,0.8334,1.0031,97.64,0,-0.0
138,shikoku_line_138,220.0,True,0.8334,1.0031,97.64,0,-0.0
173,shikoku_line_173,500.0,True,0.8334,1.0031,97.64,0,-0.0
216,shikoku_line_216,500.0,True,0.8333,1.0031,97.64,0,-0.0
254,shikoku_line_254,220.0,True,0.8334,1.0031,97.64,0,-0.0
258,shikoku_line_258,220.0,True,0.8334,1.0031,97.64,0,-0.0
262,shikoku_line_262,220.0,True,0.8334,1.0031,97.64,0,-0.0
265,shikoku_line_265,220.0,True,0.8334,1.0031,97.64,0,-0.0
266,shikoku_line_266,220.0,True,0.8334,1.0031,97.64,0,-0.0
302,shikoku_line_302,220.0,True,0.8334,1.0031,97.64,0,-0.0
327,shikoku_line_327,220.0,True,0.8334,1.0031,97.64,0,-0.0
329,shikoku_line_329,220.0,True,0.8334,1.0031,97.64,0,-0.0
