line_idx,name,voltage_kv,ac_converged,vmin,vmax,max_loading_pct,n_overload,delta_max_load
112,tohoku_line_112,275.0,True,0.8805,1.0318,1332.91,15,1198.0
475,tohoku_line_475,275.0,True,0.883,1.0319,269.24,18,134.34
56,tohoku_line_56,275.0,True,0.8839,1.0319,229.01,12,94.1
444,tohoku_line_444,500.0,True,0.8838,1.025,213.73,7,78.82
402,tohoku_line_402,275.0,True,0.8836,1.0319,194.87,17,59.97
1110,tohoku_line_1110,275.0,True,0.8837,1.0319,178.32,20,43.42
1161,tohoku_line_1161,275.0,True,0.8839,1.0319,165.27,16,30.36
1036,tohoku_line_1036,275.0,True,0.8837,1.0319,165.2,9,30.3
227,tohoku_line_227,500.0,True,0.8831,1.0321,162.67,12,27.77
478,tohoku_line_478,275.0,True,0.8829,1.0319,151.12,18,16.21
677,tohoku_line_677,275.0,True,0.8822,1.0319,150.61,15,15.7
92,tohoku_line_92,275.0,True,0.8803,1.0319,146.55,7,11.65
472,tohoku_line_472,500.0,True,0.8829,1.0319,145.58,18,10.67
1090,tohoku_line_1090,275.0,True,0.8836,1.0319,144.62,15,9.71
538,tohoku_line_538,275.0,True,0.8851,1.0321,143.0,11,8.1
1072,tohoku_line_1072,500.0,True,0.8838,1.0319,142.82,16,7.91
91,tohoku_line_91,275.0,True,0.883,1.0319,139.58,6,4.68
532,tohoku_line_532,275.0,True,0.8839,1.0309,137.54,8,2.64
481,tohoku_line_481,275.0,True,0.8837,1.0319,136.61,12,1.71
113,tohoku_line_113,275.0,True,0.883,1.0319,136.23,6,1.33
184,tohoku_line_184,500.0,True,0.8834,1.0318,136.22,6,1.32
212,tohoku_line_212,500.0,True,0.8837,1.0318,135.53,6,0.62
199,tohoku_line_199,275.0,True,0.8837,1.0319,135.32,7,0.42
201,tohoku_line_201,275.0,True,0.8837,1.0319,135.16,7,0.25
203,tohoku_line_203,275.0,True,0.8838,1.0319,135.12,6,0.21
210,tohoku_line_210,500.0,True,0.8838,1.0319,135.07,5,0.17
442,tohoku_line_442,500.0,True,0.884,1.0612,135.07,6,0.17
217,tohoku_line_217,275.0,True,0.8839,1.0319,135.0,6,0.1
551,tohoku_line_551,275.0,True,0.8839,1.0319,134.97,7,0.07
197,tohoku_line_197,275.0,True,0.8839,1.0319,134.95,6,0.04
