line_idx,name,voltage_kv,ac_converged,vmin,vmax,max_loading_pct,n_overload,delta_max_load
1643,tokyo_line_1643,275.0,False,,,,,
1645,tokyo_line_1645,275.0,False,,,,,
1205,tokyo_line_1205,500.0,True,0.7786,1.0088,1823.39,106,1218.48
1408,tokyo_line_1408,500.0,True,0.7786,1.0088,778.08,88,173.17
1355,tokyo_line_1355,500.0,True,0.7786,1.0088,777.02,87,172.12
1734,tokyo_line_1734,500.0,True,0.7786,1.0088,742.71,73,137.8
1113,tokyo_line_1113,500.0,True,0.7786,1.0088,742.61,73,137.7
1179,tokyo_line_1179,500.0,True,0.7786,1.0088,724.16,75,119.25
1178,tokyo_line_1178,500.0,True,0.7786,1.0088,703.08,69,98.17
1112,tokyo_line_1112,500.0,True,0.7786,1.0088,702.34,75,97.44
1128,tokyo_line_1128,500.0,True,0.7786,1.0088,646.03,61,41.12
2710,tokyo_line_2710,275.0,True,0.7786,1.0088,645.96,69,41.05
2583,tokyo_line_2583,500.0,True,0.7786,1.0088,641.79,116,36.88
693,tokyo_line_693,500.0,True,0.7786,1.0088,635.25,134,30.34
524,tokyo_line_524,500.0,True,0.7786,1.0088,635.18,134,30.27
2284,tokyo_line_2284,500.0,True,0.7786,1.0088,634.0,70,29.09
1116,tokyo_line_1116,500.0,True,0.7786,1.0088,623.63,57,18.72
1130,tokyo_line_1130,500.0,True,0.7786,1.0088,621.35,61,16.44
1599,tokyo_line_1599,500.0,True,0.7786,1.0088,621.12,61,16.21
522,tokyo_line_522,500.0,True,0.7786,1.0088,620.56,108,15.65
1748,tokyo_line_1748,500.0,True,0.7786,1.0088,618.07,61,13.16
1131,tokyo_line_1131,275.0,True,0.7786,1.0088,615.57,61,10.66
2727,tokyo_line_2727,275.0,True,0.7786,1.0088,614.02,62,9.11
2555,tokyo_line_2555,275.0,True,0.7786,1.0088,613.71,61,8.8
2285,tokyo_line_2285,500.0,True,0.7786,1.0088,613.63,61,8.72
1288,tokyo_line_1288,500.0,True,0.7786,1.0088,613.46,62,8.55
638,tokyo_line_638,275.0,True,0.7786,1.0088,612.0,87,7.09
2052,tokyo_line_2052,500.0,True,0.7786,1.0088,611.44,58,6.53
894,tokyo_line_894,500.0,True,0.7786,1.0088,611.24,82,6.33
2097,tokyo_line_2097,500.0,True,0.7786,1.0088,610.66,79,5.75
