field,sub_model,p_out_mod,blackout_th,crew_x,repair_x,n,west_served_0,west_served_0.5,west_served_1,west_served_2,west_served_3,west_served_4,west_served_7,west_served_14,west_served_30,west_served_60,west_served_90,west_blackout_mw_0,west_sites_pfail,east_served_0,east_served_0.5,east_served_1,east_served_2,east_served_3,east_served_4,east_served_7,east_served_14,east_served_30,east_served_60,east_served_90,east_blackout_mw_0,east_sites_pfail,out_tokai_t0.0,out_tokai_tot_t0.0,out_kinki_t0.0,out_kinki_tot_t0.0,out_sanyo_t0.0,out_sanyo_tot_t0.0,out_shikoku_t0.0,out_shikoku_tot_t0.0,out_kyushu_t0.0,out_kyushu_tot_t0.0,out_tokai_t1.0,out_tokai_tot_t1.0,out_kinki_t1.0,out_kinki_tot_t1.0,out_sanyo_t1.0,out_sanyo_tot_t1.0,out_shikoku_t1.0,out_shikoku_tot_t1.0,out_kyushu_t1.0,out_kyushu_tot_t1.0,out_tokai_t4.0,out_tokai_tot_t4.0,out_kinki_t4.0,out_kinki_tot_t4.0,out_sanyo_t4.0,out_sanyo_tot_t4.0,out_shikoku_t4.0,out_shikoku_tot_t4.0,out_kyushu_t4.0,out_kyushu_tot_t4.0,out_tokai_t7.0,out_tokai_tot_t7.0,out_kinki_t7.0,out_kinki_tot_t7.0,out_sanyo_t7.0,out_sanyo_tot_t7.0,out_shikoku_t7.0,out_shikoku_tot_t7.0,out_kyushu_t7.0,out_kyushu_tot_t7.0,out_five_t0,outtot_five_t0,out_five_t1,outtot_five_t1,out_five_t4,outtot_five_t4,out_five_t7,outtot_five_t7,sec
jshis,hazus3,0.3,0.15,1.0,1.0,10,0.5807823001205354,0.6090786168052462,0.7080220386072337,0.7541134696226518,0.7708630201159015,0.7905221981341074,0.8273767683132686,0.8918344101101113,0.92596709207185,0.957161432918275,0.9757075035226926,16320.0,0.10729513657561626,0.7341029752537631,0.7618178213804928,0.8723874658596972,0.9195054686612395,0.9364032618983683,0.943375086734062,0.9555169588716659,0.9680214823320775,0.9743035937872919,0.9823899881519715,0.9895256785433806,8840.000000000002,0.02428064643279464,7944017.422135009,8229316.851056806,2428544.1331338836,3270870.111641704,478666.2154640928,863348.9460243268,838004.6542319584,2046987.1687021095,323354.2034668919,467965.86335904535,5685021.58378055,6083167.278948447,2428544.1331338836,2634431.6590101463,468572.8952431758,468572.8952431758,838004.6542319584,1900704.0332042696,319527.31339501834,336560.6650312594,3442996.1168265333,4094001.289703082,2278114.1881762883,2444695.092424844,458410.71151675447,458410.71151675447,812298.2880702297,1615400.6085395762,306511.36214576644,324023.29059076484,3032283.3090345813,3505481.6902533663,1926714.0891641204,2023850.8766557602,450323.2757150772,450323.2757150772,708898.1071486135,1216558.449406336,274619.30432318745,278133.4113688683,12012586.628431836,14878488.940783992,9739670.579784587,11423436.531437298,7298330.666735572,8936530.992775021,6392838.08538558,7474347.703399408,18.2
jshis,hazus3,0.3,0.15,2.0,1.0,10,0.5807823001205354,0.6090786168052462,0.7080220386072337,0.7536150268967563,0.7751554187799778,0.7971085338783435,0.8450009143147701,0.910189881557862,0.9377470568640153,0.9618272166632696,0.9778767457840706,16320.0,0.10729513657561626,0.7341029752537631,0.7618178213804928,0.8724484572368866,0.9197753893397488,0.936708394753881,0.94392167109386,0.9567780141743641,0.9683095635755872,0.9745629330104408,0.9826096372072466,0.9895583889726188,8840.000000000002,0.02428064643279464,7944017.422135009,8229316.851056806,2428544.1331338836,3270870.111641704,478666.2154640928,863348.9460243268,838004.6542319584,2046987.1687021095,323354.2034668919,467965.86335904535,5685021.58378055,6083167.278948447,2428544.1331338836,2634431.6590101463,468572.8952431758,468572.8952431758,838004.6542319584,1900704.0332042696,319527.31339501834,336560.6650312594,3420653.9389343914,3936679.2862537876,2218406.8936849074,2385076.7562522157,455955.579571126,455955.579571126,799545.5924406387,1613106.8700987203,306511.36214576644,324023.29059076484,2658024.5760311387,2995516.7207239033,1832049.6432307628,1930613.5338395466,441593.917686176,441593.917686176,648938.1950462069,1106066.3512032388,274619.30432318745,278133.4113688683,12012586.628431836,14878488.940783992,9739670.579784587,11423436.531437298,7201073.36677683,8714841.782766614,5855225.636317472,6751923.934821733,18.2
jshis,hazus3,0.3,0.35,1.0,1.0,10,0.6951555586037861,0.7028905892854084,0.7894194914206774,0.7893094765982679,0.7911925073364645,0.802965626443215,0.8386411415382283,0.8992362737901305,0.9305196494781034,0.9615483256878568,0.9788818820152392,0.0,0.1018987341772152,0.6827154296182067,0.7135602270721934,0.8658836542042656,0.9167953096649175,0.9355711568720871,0.9425816009764961,0.9557984976835774,0.9678334529476935,0.9740328169746482,0.9846453574425938,0.9897894761856907,8840.000000000002,0.026093811588490345,3483308.7665712326,4948015.814229892,2164689.990514043,3191223.1634812206,490019.14346138603,1008680.8096087454,824990.7353863204,2077958.231282229,316184.83252706996,488510.0037610659,3394922.8421360287,4137422.8394620516,2164689.990514043,2306873.9861343424,487564.0115157576,511781.70702865283,823495.8577128865,1932673.8028189822,311082.8152095587,316109.126976019,3199278.943490778,3818694.3785017063,2029421.2882100698,2157264.4407071997,469751.7191539489,496092.33828868205,792644.5401687367,1709808.9284373736,298456.943808801,303483.25557526125,2841758.370684861,3178389.092492242,1652671.1532129564,1757160.5877394353,437515.1931814898,439638.0519352109,706759.4880307473,1457946.7951722983,280090.13396624866,282580.9786059802,7279193.468460051,11714388.022363152,7181755.5170882745,9204861.462420048,6789553.4348323345,8485343.341510223,5918794.339076303,7115715.505945167,18.3
jshis,hazus3,0.3,0.35,2.0,1.0,10,0.6951555586037861,0.7028905892854084,0.7894194914206774,0.7897748572476622,0.7923492671041767,0.8078647415011234,0.851309049324246,0.9164532850600806,0.9415247665668667,0.9658492250027229,0.9813039324052902,0.0,0.1018987341772152,0.6827154296182067,0.7135602270721934,0.8658836542042656,0.9168657340189246,0.936048854029414,0.9432423348198868,0.9577584522995484,0.9683672293260556,0.9743590245418816,0.9848798350477433,0.9898317403723589,8840.000000000002,0.026093811588490345,3483308.7665712326,4948015.814229892,2164689.990514043,3191223.1634812206,490019.14346138603,1008680.8096087454,824990.7353863204,2077958.231282229,316184.83252706996,488510.0037610659,3394922.8421360287,4137422.8394620516,2164689.990514043,2306873.9861343424,487564.0115157576,511781.70702865283,823495.8577128865,1932673.8028189822,311082.8152095587,316109.126976019,3111607.65481379,3741411.04852349,1966408.0657658475,2094515.0811771895,463808.46890148416,490149.1592000198,765998.1087997515,1704252.4855082813,297181.8165631633,299672.6612028949,2484344.9536749218,2795183.5349364276,1550351.3660576856,1658372.0735116056,434027.0748746535,436149.9336283746,647804.6010641376,1427167.8338796769,280090.13396624866,282580.9786059802,7279193.468460051,11714388.022363152,7181755.5170882745,9204861.462420048,6605004.114844036,8330000.435611876,5396618.129637647,6599454.354562065,18.1
jshis,hazus5,0.3,0.15,1.0,1.0,10,0.5343154333718516,0.5700158843994486,0.7819684102062059,0.8609382595660626,0.8859147401296569,0.8955420728203146,0.9105332260824307,0.923898815137053,0.9370860980905489,0.9596881056348943,0.9794757781725394,20400.0,0.05572951365756163,0.8142189680654851,0.8472802699680689,0.9284632724474537,0.953866130226975,0.96175732993087,0.9648198605785019,0.969165920049511,0.9711045483921266,0.9755123865659624,0.9854865275192186,0.9902731837412886,4420.000000000001,0.014268821442648799,8798047.834637446,8869570.373962259,1194646.6756253573,2941362.8917817376,390309.05773277895,1259959.8085956483,475793.3318631518,1367265.0643146061,260840.38839549772,552988.9063734409,5344840.010145108,5409212.794106162,1194646.6756253573,1232780.1093623904,376396.6433742178,376396.6433742178,475611.15049701475,768326.6691778668,257015.00665858472,260488.58861531364,1881313.9176270461,2009231.8115140093,1170853.2899337881,1209006.8378945962,381121.67697516066,381121.67697516066,474375.1623146401,767060.0187150573,253954.0979350701,257011.1829149548,1510122.458428571,1654483.5554095507,1144339.2458713066,1174838.3034749122,369937.18700063106,369937.18700063106,452236.7745114408,610042.70677074,241073.8044191691,244130.88939905376,11119637.288254231,14991147.045027692,7648509.486300283,8047204.80463595,4161618.144785705,4623431.528013778,3717709.4702311186,4053432.6420548875,17.8
jshis,hazus5,0.3,0.15,2.0,1.0,10,0.5343154333718516,0.5700158843994486,0.7819764850838028,0.861061460586084,0.8862749226117324,0.8965315331370198,0.9131247941645166,0.9265972454277218,0.9408156232309227,0.9621514981712128,0.9806232422456729,20400.0,0.05572951365756163,0.8142189680654851,0.8472802699680689,0.9284632724474537,0.9538529132255308,0.9617441129294261,0.9648525710077404,0.969165920049511,0.9711045483921266,0.9756277009591806,0.9855323925002608,0.9902731837412886,4420.000000000001,0.014268821442648799,8798047.834637446,8869570.373962259,1194646.6756253573,2941362.8917817376,390309.05773277895,1259959.8085956483,475793.3318631518,1367265.0643146061,260840.38839549772,552988.9063734409,5344840.010145108,5409212.794106162,1194646.6756253573,1232780.1093623904,376396.6433742178,376396.6433742178,475611.15049701475,768326.6691778668,257015.00665858472,260072.09163846943,1865023.10707786,1992941.0013085112,1159820.713324695,1197974.261285503,371301.1491926469,371301.1491926469,470214.58400793653,765838.838692064,253954.0979350701,257011.1829149548,1433909.1706782791,1565034.1715066636,1139063.7692155712,1169701.6291441587,368573.2248086153,368573.2248086153,441017.21668252617,601179.0371242757,241073.8044191691,244130.88939905376,11119637.288254231,14991147.045027692,7648509.486300283,8046788.307659106,4120313.6515382086,4585066.43339368,3623637.185804161,3948618.951982767,17.8
jshis,hazus5,0.3,0.35,1.0,1.0,10,0.6963705137409822,0.7145146780305123,0.8728803754373629,0.8905242080435805,0.8954662009181193,0.9020131891357636,0.9110294445101326,0.9266329733548386,0.9407263973449759,0.9617827676221279,0.9798567212610186,4080.0,0.05439706862091938,0.8759687471607465,0.8907068332134375,0.9630931378724606,0.9634230083976772,0.9637097780132451,0.9644561365153901,0.9665853871284469,0.9689455931080675,0.9734238521988676,0.9820103747425529,0.9878924187450452,0.0,0.0148206543161214,3033708.1539776833,4275054.702161134,1210641.947862304,2826739.675123564,396548.460498215,1195417.1219068132,519088.635475013,1405621.2985897516,262128.0348213082,536030.0806565455,2332144.8352542296,2488362.8467346556,1210641.947862304,1275879.8305178192,392644.2394340758,394814.2540111564,519088.635475013,1049224.9979953114,259574.7636601117,271493.62535174575,1565989.8849690708,1704537.0504711298,1183107.6330952365,1239429.0797079427,390461.8999268505,392631.91450393107,508140.89477086975,880682.802995756,253197.3174299707,265088.1227007856,1304622.2060752264,1441301.3387317155,1129097.0407369854,1185331.3384302703,383579.518705334,385749.5332824146,493469.23755224294,859001.2267579056,247203.6160414894,259094.4213123043,5422115.232634524,10238862.878437808,4714094.421685734,5479775.554610688,3900897.630191998,4482368.970379545,3557971.619111278,4130477.85851461,17.7
jshis,hazus5,0.3,0.35,2.0,1.0,10,0.6963705137409822,0.7145146780305123,0.8728803754373629,0.8906475274483375,0.8960743382185661,0.903640434820446,0.9134090785527427,0.9289907859828719,0.9435091136051651,0.9637578634014876,0.9808995266045556,4080.0,0.05439706862091938,0.8759687471607465,0.8907068332134375,0.9630931378724606,0.9633770809669948,0.9636638505825627,0.9644561365153901,0.9665853871284469,0.9689877810861146,0.9735396847347371,0.9820562397235951,0.9878924187450452,0.0,0.0148206543161214,3033708.1539776833,4275054.702161134,1210641.947862304,2826739.675123564,396548.460498215,1195417.1219068132,519088.635475013,1405621.2985897516,262128.0348213082,536030.0806565455,2332144.8352542296,2488362.8467346556,1210641.947862304,1275879.8305178192,392644.2394340758,394814.2540111564,519088.635475013,1049224.9979953114,259574.7636601117,271493.62535174575,1518476.064265695,1657023.229767754,1175564.647103031,1231896.7949249626,388006.7679812221,390176.7825583026,505475.19413760013,876189.8998884298,253197.3174299707,265088.1227007856,1252103.6159978118,1370374.472951252,1117738.2221828096,1173998.2703703055,383579.518705334,385749.5332824146,476213.3808656379,840985.7691777048,247203.6160414894,259094.4213123043,5422115.232634524,10238862.878437808,4714094.421685734,5479775.554610688,3840719.9909175187,4420374.8298402345,3476838.3537930828,4030202.4670939813,17.7
jshis,jma,0.3,0.15,1.0,1.0,10,0.5418205097178158,0.5768481057158835,0.7878127020177219,0.8610953807515886,0.884710421952937,0.8948501989488861,0.9073262223134305,0.9281205911645781,0.9395190894555924,0.9652793844285481,0.9821703191396933,18360.0,0.06265822784810127,0.6534822135290342,0.6917183856268427,0.8372473531468081,0.9139632542294477,0.9384933117913603,0.9467794523307222,0.9579823802357903,0.9668571885383221,0.9738296979247377,0.9843633641853243,0.9885238917489896,13260.000000000004,0.021324398896334255,8296878.583076537,8498047.32872394,1376179.3801657124,3170962.7531868685,489889.4305870728,1381300.3419310574,601056.1813750512,1144263.822245678,314428.1619139322,607151.3815876357,4916731.532362217,4965743.961233326,1376179.3801657124,1429949.2561177516,489889.4305870728,493542.817597409,601056.1813750512,648091.2132820081,313153.03466829454,316051.0004775728,1652550.6553819277,1726321.8166590917,1336713.3219367382,1383437.6032225308,477682.5438196269,477682.5438196269,591597.2867736935,636573.1928726513,297335.4234825452,298990.9008125936,1405165.3193492224,1477836.8476857117,1220250.3599914736,1266974.6412772657,460799.849087435,460799.849087435,554357.7223485499,595082.3759033433,278970.5744754416,281443.32944364636,11078431.737118306,14801725.62767518,7697009.559158348,7853378.248708067,4355879.231394531,4523006.057386494,3919543.8252521222,4082137.043397402,17.5
jshis,jma,0.3,0.15,2.0,1.0,10,0.5418205097178158,0.5768481057158835,0.7878127020177219,0.8612840053932115,0.8854065254644311,0.8963229312278629,0.911469338228053,0.9329720962871594,0.943225661847741,0.9672368347094519,0.9834174272959814,18360.0,0.06265822784810127,0.6534822135290342,0.6917183856268427,0.8373377783724352,0.9142372720526709,0.9389058400997734,0.9472514334190442,0.958608045817578,0.9673252294525772,0.9738624083539763,0.9843960746145627,0.9885238917489896,13260.000000000004,0.021324398896334255,8296878.583076537,8498047.32872394,1376179.3801657124,3170962.7531868685,489889.4305870728,1381300.3419310574,601056.1813750512,1144263.822245678,314428.1619139322,607151.3815876357,4916731.532362217,4965743.961233326,1376179.3801657124,1429949.2561177516,489889.4305870728,493542.817597409,601056.1813750512,648091.2132820081,313153.03466829454,316051.0004775728,1629267.1193366188,1703038.2806137823,1309595.652734084,1356319.9340198766,476506.2471395193,476506.2471395193,585712.0114856563,632528.6356599445,297335.4234825452,298990.9008125936,1277281.7770112592,1350029.478186315,1189736.9865005235,1236461.2677863159,459623.55240732746,459623.55240732746,541389.4204962123,580668.316583496,278970.5744754416,281443.32944364636,11078431.737118306,14801725.62767518,7697009.559158348,7853378.248708067,4298416.454178424,4467383.998245716,3747002.310890764,3908225.944407101,17.5
