t_days,blackout,site_tsunami,site_shaking,isolated,total
0.0,6153174.195382382,1685192.1692518098,361337.04674127215,834615.2389101755,9034318.650285639
0.5,5120229.2788904775,1765734.5467329987,398803.9097990042,872195.9060589965,8156963.641481477
1.0,2984219.340743451,1908910.8572228563,495418.1982275763,950014.9324740429,6338563.328667927
2.0,979769.3001943311,2048875.83660035,572190.3911776225,1019295.390478582,4620130.918450885
4.0,151630.52559975346,2112587.940178922,557696.7739407237,1026250.3673162406,3848165.6070356397
7.0,21272.79277832776,2121746.730074575,396100.18204613385,959944.403469018,3499064.108368055
14.0,712.2024882148704,2107629.185511442,126118.29264914668,870172.3461046908,3104632.026753494
30.0,0.0,1907421.4203698747,40729.97108845106,696885.603005223,2645036.9944635485
60.0,0.0,1094049.6744562075,395.6680490082614,494507.7546865433,1588953.0971917592
90.0,0.0,548488.3182516017,0.0,205119.20797557486,753607.5262271765
