day,persons_chubu,persons_chugoku,persons_hokuriku,persons_kansai,persons_kyushu,persons_shikoku,trucks_need_chubu,trucks_need_chugoku,trucks_need_hokuriku,trucks_need_kansai,trucks_need_kyushu,trucks_need_shikoku,trucks_avail_chubu,trucks_avail_chugoku,trucks_avail_hokuriku,trucks_avail_kansai,trucks_avail_kyushu,trucks_avail_shikoku
0.0,320.0,199.6,1.2000000000000002,400.0,299.6,120.0,338.90502467063294,308.87831933054883,0.0,1354.0965998097006,51.91154645538416,467.5902420179761,40.0,25.0,10.0,50.0,40.0,15.0
1.0,320.0,199.6,1.2000000000000002,400.0,297.6,120.0,731.2969301863187,308.87831933054883,0.0,1354.0965998097006,48.62290075095136,467.5902420179761,40.0,25.0,10.0,50.0,40.0,15.0
2.0,320.0,199.6,1.2000000000000002,400.0,294.40000000000003,120.0,1039.8861488638922,308.87831933054883,0.0,1342.5126104642366,37.66650849359728,459.8785072413284,80.0,50.0,20.0,100.0,80.0,30.0
3.0,640.0,246.39999999999998,1.2000000000000002,673.2,294.4,240.0,1099.17330826223,308.87831933054883,0.0,1312.0464187425675,32.188312364920236,459.0989342872378,80.0,50.0,20.0,100.0,80.0,30.0
4.0,640.0,244.79999999999998,0.8,666.4,292.8,240.0,1111.541155760081,308.87831933054883,0.0,1287.6007060561392,30.360086954661337,457.8859100243755,80.0,50.0,20.0,100.0,80.0,30.0
5.0,640.0,243.99999999999997,0.8,652.4,291.6,240.0,1087.260101088012,308.87831933054883,0.0,1234.6916909112897,30.360086954661337,445.2418129195927,80.0,50.0,20.0,100.0,80.0,30.0
7.0,640.0,241.59999999999994,0.8,629.6,286.40000000000003,240.0,999.9258238728903,306.6649806825959,0.0,1188.825972296425,28.534021578435656,439.60330045697464,80.0,50.0,20.0,100.0,80.0,30.0
10.0,640.0,238.39999999999998,0.8,608.8000000000001,280.0,240.0,885.9627705888095,304.7561719789668,0.0,1150.6686173491323,28.534021578435656,415.1711862092432,80.0,50.0,20.0,100.0,80.0,30.0
14.0,640.0,230.0,0.8,579.6,264.4,240.0,757.5855320836738,304.7561719789668,0.0,1078.1700869851663,30.245238441431624,403.9528646463329,80.0,50.0,20.0,100.0,80.0,30.0
21.0,636.4,204.79999999999998,0.0,521.6000000000001,234.4,240.0,682.518409120322,300.0756585088204,0.0,1037.5966664168934,46.6949470656953,402.337766044745,80.0,50.0,20.0,100.0,80.0,30.0
30.0,604.0000000000001,171.6,0.0,416.79999999999995,198.39999999999998,240.0,450.93597311459894,263.4072966544137,0.0,876.3604621394024,54.47679715764886,348.82908450148574,80.0,50.0,20.0,100.0,80.0,30.0
45.0,416.0,118.79999999999998,0.0,280.80000000000007,134.4,237.2,319.03980949924875,220.32319694207445,0.0,849.4759793913377,98.7176920518811,376.0237567622052,80.0,50.0,20.0,100.0,80.0,30.0
60.0,265.59999999999997,80.8,0.0,189.20000000000005,86.00000000000003,204.0,241.4347494393018,169.17774563965926,0.0,640.5347110119023,102.0128178584136,390.0212532156928,80.0,50.0,20.0,100.0,80.0,30.0
90.0,104.8,36.8,0.0,81.19999999999999,37.199999999999996,80.40000000000002,93.48177435492259,53.19944301856744,0.0,314.0973972340205,42.7783145660251,199.99021676396174,80.0,50.0,20.0,100.0,80.0,30.0
