t_days,served_mw_mean,phys_mw_mean,blackout_mw,load_reduced_mw,served_mw_p10,served_mw_p90,sites_out,lines_out,gens_out,gen_cap_mw,load_mw,served_frac,phys_frac,shortage_frac
0.0,45341.21020722741,50766.820357117875,2873.0000000000005,52370.50064030475,41653.05817257068,51392.590220582075,36.18,36.625,962.79,49480.07595237707,55250.0,0.8206553883661069,0.9188564770519072,0.09820108868580035
0.25,46035.37761045823,50839.85888662206,2802.74563859326,52370.50064030475,42366.49022872161,51880.80583835831,36.18,36.625,861.625,50236.769832328755,55250.0,0.8332195042616873,0.9201784413868246,0.08695893712513725
0.5,46820.4168348151,51216.84619019326,2413.564376543927,52370.50064030475,42979.56985082204,52202.13970164459,36.18,36.625,760.135,50866.47660625823,55250.0,0.8474283590011783,0.927001740998973,0.07957338199779473
1.0,51968.61101185708,52172.463316320114,1431.156921965498,52370.50064030475,52872.151657675575,53627.89631481135,36.18,36.325,560.205,69682.897445,55250.0,0.9406083441060105,0.9442979785759297,0.003689634469919212
2.0,52902.67154070645,53115.75142159923,464.37161713044657,52370.50064030475,52876.682616090184,53627.89631481135,36.15,35.22,440.125,70444.26598,55250.0,0.9575144170263611,0.9613710664542846,0.0038566494279235197
3.0,53193.13257433488,53407.313692075724,177.53773945033151,52370.50064030475,52932.113220339765,53627.89631481135,35.97,34.535,320.33,71057.69219,55250.0,0.9627716303047037,0.9666482116212801,0.003876581316576422
4.0,53325.29279889313,53537.6901279265,67.73964748857287,52370.50064030475,52966.357537011754,53643.667603244445,35.42,34.025,314.71,71102.31499,55250.0,0.9651636705682015,0.9690079661163168,0.003844295548115273
5.0,53388.15989591068,53598.883009497455,31.81414566495779,52370.50064030475,53103.76623744583,53652.540083739856,34.755,33.55,309.655,71147.39164999999,55250.0,0.9663015365775688,0.9701155295836643,0.0038139930060955285
7.0,53466.3020629633,53674.01866079321,9.303247714905732,52370.50064030475,53277.24108220777,53702.97814107394,33.35,32.91,299.12,71228.34614499999,55250.0,0.9677158744427747,0.9714754508740853,0.0037595764313105295
10.0,53541.712927982386,53741.51983632965,1.7511173797368695,52370.50064030475,53335.70370300243,53762.37976145319,31.82,31.785,289.66,71311.37111,55250.0,0.9690807769770567,0.9726971916077765,0.003616414630719711
14.0,53592.28097323215,53787.050530160224,0.06504925366194059,52370.50064030475,53427.05169370756,53799.1772275244,30.79,29.23,277.895,71387.85626999999,55250.0,0.969996035714609,0.973521276563986,0.0035252408493769982
21.0,53673.008352590085,53854.92625866094,0.0,52635.71768659247,53512.37365614368,53882.42487613087,29.365,23.06,277.375,71399.56962,55250.0,0.9714571647527617,0.9747497965368496,0.003292631784087896
30.0,53823.588063316376,53974.970174252,0.0,52976.71103181955,53667.34018272203,54032.770351730265,26.83,15.845,103.78,74340.44965,55250.0,0.9741825893812919,0.9769225370905339,0.002739947709242019
45.0,54078.6453441756,54196.52207099704,0.0,53545.03327386466,53879.46514707303,54296.11297144278,20.985,8.035,42.66,75271.09130999999,55250.0,0.9787990107543095,0.9809325261718921,0.0021335154175825544
60.0,54323.86196289394,54425.32352478642,0.0,54113.355515909774,54107.22547055249,54530.71158786721,15.42,3.97,42.225,75281.652135,55250.0,0.9832373205953655,0.9850737289554103,0.0018364083600448389
90.0,54676.343544437994,54791.58445802511,0.0,55250.0,54444.76952140951,54890.47897854385,7.745,1.025,37.65,81115.13646,55250.0,0.9896170777273845,0.9917028861181015,0.0020858083907170366
