t_days,served_mw_mean,phys_mw_mean,blackout_mw,load_reduced_mw,served_mw_p10,served_mw_p90,sites_out,lines_out,gens_out,gen_cap_mw,load_mw,served_frac,phys_frac,shortage_frac
0.0,44699.03665834798,49728.27360194651,2873.0000000000005,52370.50064030475,41277.92479676971,51003.619261888496,36.18,36.625,962.79,49480.07595237707,55250.0,0.8090323377076557,0.900059250713964,0.09102691300630827
0.25,45287.885961599284,49754.08363098229,2802.74563859326,52370.50064030475,41336.76514118889,51138.70206771053,36.18,36.625,861.625,50236.769832328755,55250.0,0.8196902436488558,0.9005264005607655,0.0808361569119097
0.5,46068.34492970583,50092.20151969284,2413.564376543927,52370.50064030475,41508.25367565413,51294.1586257977,36.18,36.625,760.135,50866.47660625823,55250.0,0.83381619782273,0.9066461813519067,0.07282998352917669
1.0,50767.191847960996,51416.03540434691,1431.156921965498,52370.50064030475,50634.660080691654,53107.17414975563,36.18,36.325,560.205,69682.897445,55250.0,0.9188632008680723,0.930606975644288,0.011743774776215687
2.0,51641.862313884616,52353.52678157717,464.37161713044657,52370.50064030475,50573.433230110735,53112.462666682535,36.15,35.22,440.125,70444.26598,55250.0,0.9346943405227984,0.9475751453679127,0.012880804845114224
3.0,51865.61713428892,52605.20037411841,177.53773945033151,52370.50064030475,50735.320248982775,53134.99791161655,35.97,34.535,320.33,71057.69219,55250.0,0.9387442015255913,0.9521303235134554,0.013386121987864041
4.0,52006.02302638457,52726.71411537593,67.73964748857287,52370.50064030475,51104.132569804606,53134.99791161655,35.42,34.025,314.71,71102.31499,55250.0,0.9412854846404448,0.9543296672466232,0.013044182606178345
5.0,52074.69874830463,52792.1051575451,31.81414566495779,52370.50064030475,51266.90917569766,53140.61040168227,34.755,33.55,309.655,71147.39164999999,55250.0,0.9425284841322106,0.9555132155211783,0.012984731388967719
7.0,52125.757764137095,52859.83988839056,9.303247714905732,52370.50064030475,51289.43941630831,53055.61428236068,33.35,32.91,299.12,71228.34614499999,55250.0,0.943452629215151,0.9567391835002816,0.013286554285130592
10.0,52211.46373026372,52960.58239926309,1.7511173797368695,52370.50064030475,51342.05682550841,53244.226885508695,31.82,31.785,289.66,71311.37111,55250.0,0.9450038684210628,0.9585625773622278,0.013558708941165065
14.0,52252.629866446325,53000.85799379177,0.06504925366194059,52370.50064030475,51408.294536817215,53218.00355941171,30.79,29.23,277.895,71387.85626999999,55250.0,0.945748956858757,0.9592915473989461,0.013542590540189026
21.0,52363.777157953875,53075.86800629058,0.0,52635.71768659247,51443.61168467125,53350.32950981266,29.365,23.06,277.375,71399.56962,55250.0,0.9477606725421516,0.9606491946839923,0.012888522141840775
30.0,52392.6012524056,53015.1063904702,0.0,52976.71103181955,51524.55395360517,53263.526492974685,26.83,15.845,103.78,74340.44965,55250.0,0.9482823756091511,0.9595494369315873,0.011267061322436267
45.0,52822.77715133449,53263.361784264685,0.0,53545.03327386466,52174.38674477711,53571.61050821259,20.985,8.035,42.66,75271.09130999999,55250.0,0.9560683647300361,0.9640427472265102,0.007974382496474086
60.0,53200.94816878941,53557.198167521565,0.0,54113.355515909774,52443.84144406534,53926.543751826466,15.42,3.97,42.225,75281.652135,55250.0,0.9629130890278625,0.9693610528058202,0.006447963777957644
90.0,53964.487243621945,54185.909445337806,0.0,55250.0,53265.17388623958,54695.19431260707,7.745,1.025,41.65,75298.57646,55250.0,0.9767328007895375,0.980740442449553,0.0040076416600155484
