t_days,served_mw_mean,phys_mw_mean,blackout_mw,load_reduced_mw,served_mw_p10,served_mw_p90,sites_out,lines_out,gens_out,gen_cap_mw,load_mw,served_frac,phys_frac,shortage_frac
0.0,40502.4206972893,52540.8227081483,17136.0,65526.33526586261,35833.15785669604,50866.659105506136,159.53,196.665,4337.81,45932.78514350126,73865.0,0.5483303418031449,0.711308775579074,0.16297843377592913
0.25,41051.45406860078,52902.88329488159,16716.565375487433,65526.33526586261,36286.03980345736,50978.09018406874,159.53,196.665,4261.95,46280.2083685951,73865.0,0.555763271760655,0.7162104284151031,0.1604471566544481
0.5,42818.807144086364,54905.79555281049,14393.456763479124,65526.33526586261,38317.53027318182,50761.109340600466,159.53,196.655,4186.365,46589.007727565644,73865.0,0.5796900716724614,0.7433262783836795,0.16363620671121804
1.0,57557.75208421717,59933.76865810065,8566.378653327405,65526.33526586261,53530.000046900954,64287.891746102905,159.525,196.255,4034.855,64216.95695375,73865.0,0.7792290270658251,0.8113960422135064,0.03216701514768128
2.0,62595.43153339066,64996.545028251734,2737.835629264738,65526.33526586261,59428.768818643606,65083.24035892371,159.365,193.945,3960.61,64806.55154125,73865.0,0.8474301974330287,0.8799369800074694,0.03250678257444073
3.0,64190.038042071115,66530.76466275156,997.5401524030299,65526.33526586261,61406.83308802135,66608.46876888306,158.5,192.425,3886.48,65268.55672775,73865.0,0.8690183177698655,0.9007075700636508,0.031689252293785275
4.0,64826.24177302563,67173.98944858504,412.34139048280974,65526.33526586261,61856.19712429212,67149.34825903135,156.345,191.145,3879.605,65386.45512775,73865.0,0.877631378501667,0.9094156833220746,0.031784304820407616
5.0,65142.88004426705,67503.56548671555,184.35790625473058,65526.33526586261,61777.13131568749,67595.8417282494,153.625,188.23,3872.555,65498.28507025,73865.0,0.8819180944191031,0.9138775534653159,0.03195945904621278
7.0,65735.51068149126,67998.01627635416,49.65056038550253,65526.33526586261,62026.526841222214,68158.42488592674,146.61,184.765,3858.545,65723.54862275,73865.0,0.8899412533878192,0.9205715328823416,0.03063027949452246
10.0,66147.83904382447,68458.4828028371,11.947468741676223,65526.33526586261,62663.9048514763,68499.09210914839,137.2,180.64,3845.505,65993.47571525,73865.0,0.8955234420066942,0.9268054261536194,0.03128198414692518
14.0,66291.93224183962,68764.05085172942,1.6627594766687903,65526.33526586261,62258.04273300475,68876.96473006782,129.37,171.01,3831.775,66167.32922775,73865.0,0.8974742062118678,0.9309422710584095,0.033468064846541745
21.0,66312.8928825714,69073.23257968959,0.0,66294.37017558579,61992.066198664856,69148.32684180762,122.12,147.125,3829.195,66251.76910525,73865.0,0.8977579758014134,0.9351280387150828,0.0373700629136694
30.0,69186.0619332444,69582.19483631637,0.0,67281.84363094416,68731.84192457332,69581.80924254683,111.68,113.56,1460.45,84266.07632925,73865.0,0.9366555463784526,0.9420184774428534,0.005362931064400778
45.0,70063.01770950072,70408.32203318109,0.0,68927.63272320812,69640.58541468986,70501.59751236232,86.9,66.965,645.26,90522.124845,73865.0,0.9485279592432238,0.9532027622443795,0.004674803001155747
60.0,70912.52954210613,71189.29042207717,0.0,70573.42181547207,70510.52502279922,71329.23694791736,64.105,37.225,643.255,90583.32945,73865.0,0.9600288301916488,0.9637756775479208,0.003746847356272065
90.0,72286.77107313041,72430.25509348692,0.0,73865.0,71868.1009334977,72637.08075995574,32.27,10.06,640.17,90689.795535,73865.0,0.9786336028312518,0.9805761198603794,0.0019425170291276217
