t_days,served_mw_mean,phys_mw_mean,blackout_mw,load_reduced_mw,served_mw_p10,served_mw_p90,sites_out,lines_out,gens_out,gen_cap_mw,load_mw,served_frac,phys_frac,shortage_frac
0.0,42080.4119636456,52573.460577283564,17136.0,65526.33526586261,37568.834783489445,53063.31095786775,159.53,196.665,4337.81,45932.78514350126,73865.0,0.5696935214735748,0.7117506339576737,0.1420571124840989
0.25,42663.38978687857,52938.348518176215,16716.565375487433,65526.33526586261,38151.567007467325,53302.46770598271,159.53,196.665,4261.95,46280.2083685951,73865.0,0.5775859986039202,0.7166905641125867,0.13910456550866646
0.5,44555.25837927955,54951.76902576965,14393.456763479124,65526.33526586261,40254.12044460203,53615.92789590584,159.53,196.655,4186.365,46589.007727565644,73865.0,0.6031985159314905,0.7439486769886909,0.1407501610572004
1.0,59242.0824328458,60012.40176968037,8566.378653327405,65526.33526586261,56149.43985986824,65683.82025660478,159.525,196.255,4034.855,64216.95695375,73865.0,0.8020318477336464,0.8124605939170157,0.010428746183369308
2.0,64304.359309135805,65103.58947062858,2737.835629264738,65526.33526586261,62442.48858258224,65906.96362708628,159.365,193.945,3960.61,64806.55154125,73865.0,0.8705660232740243,0.8813861703192118,0.010820147045187523
3.0,65847.0058153998,66672.3511592511,997.5401524030299,65526.33526586261,64012.07087987702,67055.84138862745,158.5,192.425,3886.48,65268.55672775,73865.0,0.8914506981032938,0.9026243980132824,0.011173699909988621
4.0,66534.86655467057,67295.70309188026,412.34139048280974,65526.33526586261,64832.94726032715,67610.17980709986,156.345,191.145,3879.605,65386.45512775,73865.0,0.9007631023444199,0.9110634683798858,0.010300366035465913
5.0,66947.70760863101,67634.56605762104,184.35790625473058,65526.33526586261,65391.090591755965,67940.0189314964,153.625,188.23,3872.555,65498.28507025,73865.0,0.9063522318910311,0.9156510669142495,0.009298835023218377
7.0,67517.6584976578,68073.39044494761,49.65056038550253,65526.33526586261,65906.07234103861,68353.63257410095,146.61,184.765,3858.545,65723.54862275,73865.0,0.9140683476295648,0.9215919643261031,0.007523616696538338
10.0,68109.40534864474,68486.48092131951,11.947468741676223,65526.33526586261,67483.71033816102,68723.0398970077,137.2,180.64,3845.505,65993.47571525,73865.0,0.9220795417131894,0.9271844706060991,0.005104928892909699
14.0,68503.89149974188,68798.84357810288,1.6627594766687903,65526.33526586261,68088.90089515231,69001.37696791619,129.37,171.01,3831.775,66167.32922775,73865.0,0.9274201787008987,0.9314133023502725,0.003993123649373875
21.0,68868.77600933297,69092.0827003941,0.0,66294.37017558579,68504.2124435222,69297.70937948843,122.12,147.125,3829.195,66251.76910525,73865.0,0.9323600624021251,0.9353832356379083,0.003023173235783161
30.0,69357.85719568192,69619.68994462941,0.0,67281.84363094416,68980.59651350768,69756.64281348186,111.68,113.56,1460.45,84266.07632925,73865.0,0.9389813469935954,0.9425260941532446,0.003544747159649253
45.0,70251.88578005397,70474.09248693105,0.0,68927.63272320812,69846.94577423629,70627.83638801247,86.9,66.965,645.26,90522.124845,73865.0,0.9510848951472818,0.9540931765644223,0.0030082814171404904
60.0,71070.22808756433,71257.6133564837,0.0,70573.42181547207,70691.54728548837,71465.30435952907,64.105,37.225,643.255,90583.32945,73865.0,0.9621637864694285,0.9647006478912028,0.002536861421774339
90.0,72378.13712098164,72563.55522469219,0.0,73865.0,72018.82391458178,72743.9266579878,32.27,10.06,539.06,94540.22068500001,73865.0,0.9798705357203228,0.9823807652432436,0.0025102295229207927
