utility,line_name,voltage_kv,chord_km,route_km
chubu,三重連絡1号線,500.0,5.889,5.8
chubu,三重連絡2号線,500.0,5.889,5.8
chubu,西部幹1号線,500.0,53.398,60.74
chubu,西部幹2号線,500.0,53.398,60.74
chubu,東部幹1号線,500.0,55.366,72.257
chubu,東部幹2号線,500.0,55.366,72.257
chubu,豊根幹1号線,500.0,39.575,42.875
chubu,豊根幹2号線,500.0,39.575,42.875
chubu,東栄幹1号線,500.0,112.04,140.002
chubu,東栄幹2号線,500.0,112.04,140.002
chubu,新三河幹1号線,500.0,29.601,30.285
chubu,新三河幹2号線,500.0,29.601,30.285
chubu,豊根連絡1号線,500.0,154.776,182.469
chubu,豊根連絡2号線,500.0,154.776,182.469
chubu,駿遠幹1号線,500.0,187.646,227.732
chubu,駿遠幹2号線,500.0,187.646,227.732
chubu,静岡幹1号線,500.0,44.158,49.832
chubu,静岡幹2号線,500.0,44.158,49.832
chubu,静岡連絡1号線,500.0,6.054,7.965
chubu,静岡連絡2号線,500.0,6.054,7.965
chubu,電名瀬戸1号線,275.0,14.641,23.688
chubu,電名瀬戸2号線,275.0,14.641,23.688
chubu,愛知瀬戸1号線,275.0,14.727,17.248
chubu,愛知瀬戸2号線,275.0,14.727,17.248
chubu,東部額田1号線,275.0,15.97,19.502
chubu,東部額田2号線,275.0,15.97,19.502
chubu,額田幸田1号線,275.0,13.234,14.484
chubu,額田幸田2号線,275.0,13.234,14.484
chubu,幸田新三河1号線,275.0,24.284,25.337
chubu,幸田新三河2号線,275.0,24.284,25.337
chugoku,中国西幹線1L,500.0,100.704,106.375
chugoku,中国西幹線2L,500.0,100.704,106.375
chugoku,中国中幹線1L,500.0,145.986,152.308
chugoku,中国中幹線2L,500.0,145.986,152.308
chugoku,新山口幹線1L,500.0,67.576,77.317
chugoku,新山口幹線2L,500.0,67.576,77.317
chugoku,東山口幹線1L,500.0,46.129,52.23
chugoku,東山口幹線2L,500.0,46.129,52.23
chugoku,西島根幹線1L,500.0,40.669,46.412
chugoku,西島根幹線2L,500.0,40.669,46.412
chugoku,新西広島幹線1L,500.0,42.306,47.52
chugoku,新西広島幹線2L,500.0,42.306,47.52
chugoku,新広島幹線1L,500.0,71.277,74.138
chugoku,新広島幹線2L,500.0,71.277,74.138
chugoku,新岡山幹線1L,500.0,58.786,61.475
chugoku,新岡山幹線2L,500.0,58.786,61.475
chugoku,日野幹線1L,500.0,54.761,58.005
chugoku,日野幹線2L,500.0,54.761,58.005
chugoku,新小野田火力連絡線,220.0,23.022,37.487
chugoku,新山口連絡線,220.0,19.94,24.253
chugoku,新小野田火力山口線,220.0,13.76,16.224
chugoku,東山口連絡線1L,220.0,8.851,9.036
chugoku,東山口連絡線2L,220.0,8.851,9.036
chugoku,新広島連絡線1L,220.0,16.632,17.329
chugoku,新広島連絡線2L,220.0,16.632,17.329
chugoku,新倉敷連絡線2L,220.0,41.897,48.04
chugoku,岡山幹線1L,220.0,23.298,28.217
chugoku,岡山幹線2L,220.0,23.298,28.217
chugoku,東岡山連絡線1L,220.0,21.309,25.466
chugoku,東岡山連絡線2L,220.0,21.309,25.466
chugoku,河原線2L,66.0,7.452,17.894
chugoku,新岡山連絡線1L,220.0,18.14,19.015
chugoku,新岡山連絡線2L,220.0,18.14,19.015
chugoku,井原連絡線1L,220.0,18.14,19.015
chugoku,井原連絡線2L,220.0,18.14,19.015
chugoku,笠岡幹線,220.0,14.624,14.432
chugoku,笠岡幹線,220.0,14.624,14.432
chugoku,東岡山西大寺線1L,110.0,25.3,29.449
chugoku,東岡山西大寺線2L,110.0,25.3,29.449
chugoku,玉島水島線1L,110.0,3.712,4.091
